LeagueIndex,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed,DummyMain,>20?
5,14,350,107.9118,0.006701306,0.000706102,5,1.33E-05,0.000466294,0.00323741,67.0744,71.3251,4.3786,27,0.0013323,9,0.000239808,0,1,0
4,28,1100,114.7806,0.002629613,0.000287389,5,0.000244281,0.000344867,0.003649845,40.4427,59.937,4.9961,16,0.0015806,5,0,0,1,1
5,10,800,115.1274,0.002651149,0.000660037,8,9.90E-05,0.000693039,0.004147232,30.766,49.4854,4.679,30,0.00082505,8,0,0.00051703,1,1
6,6,500,133.7016,0.004499795,0.000420105,3,1.87E-05,7.47E-05,0.003874305,21.4686,50.5253,5.4892,29,0.0010083,10,0,0.00056014,0,1
5,20,800,99.5088,0.00073402,0.000108298,1,2.41E-05,0.00057759,0.002695418,22.7265,68.7321,6.7054,23,0.0019614,7,0,0,1,0
5,10,500,83.9172,0.002853513,0.000492966,3,0,0,0.004607334,51.2082,52.0494,2.8663,31,0.00065413,9,0,0,0,1
4,14,500,216.6936,0.012494649,0.000481593,4,5.35E-05,0.000107021,0.004334332,27.9255,45.1605,6.3395,18,0.001204,5,0,0,0,0
4,20,800,129.8598,0.002315078,0.000333769,5,7.81E-05,0.001008408,0.003472617,36.3934,57.5215,6.7587,36,0.00075276,11,0.000284059,0.0012286,0,1
6,70,2520,267.5586,0.027814934,0.00070816,10,0,0.000127862,0.005616099,34.6035,40.6025,4.1629,36,0.00085569,12,8.85E-05,0.00019671,0,0
5,6,800,74.1174,0.000875,0.000205357,6,1.79E-05,4.46E-05,0.003517857,46.4122,71.8173,3.7944,34,0.00092857,5,0,0,1,1
5,20,700,101.6796,0.001406194,0.000427198,5,0,0.0001246,0.003453186,26.7979,54.5979,5.3144,22,0.0010324,4,0,0.0005696,1,1
6,10,160,150.5004,0.005666689,0.000631529,6,0.000375504,0.00040964,0.004625521,30.2222,45.5941,4.9077,14,0.001007,6,0,0,0,0
3,6,150,64.6416,0.000672344,0.000336172,1,0.000154079,0.000203104,0.002759413,53.5776,78.2944,4.2284,41,0.00063733,6,7.00E-05,6.30E-05,1,0
3,8,250,41.9094,0.000275751,0.000190905,0,0,0.000169693,0.002142372,54.4677,91.3069,3.6881,17,0.00066817,6,0,2.12E-05,1,0
5,16,1000,128.0784,0.002753792,9.50E-05,4,0.000240561,0.000164595,0.003969259,35.393,56.4019,5.2711,27,0.00043048,8,0,0,0,0
6,28,500,161.3466,0.006109907,0.000577483,9,0.000327953,0.0007272,0.00413506,34.1209,47.1034,5.8466,48,0.0013475,9,0.000377859,0.00017111,1,0
4,4,400,90.7686,0.001610454,0.000392794,4,0,0.000183304,0.003469676,44.7424,59.5321,4.5698,15,0.00070703,6,0,0.00032733,0,1
6,14,730,162.0876,0.007596727,0.000571635,7,0.000255731,0.000752151,0.003986401,23.5303,51.034,5.7698,28,0.0026024,6,0,1.50E-05,1,0
1,6,230,69.5076,0.00017507,0.000204248,4,5.84E-05,0.000204248,0.001458917,45.0612,112.96,9.14,11,0.00058357,4,0,0,1,0
3,24,300,81.0702,0.001746793,0.000104286,0,2.61E-05,0.000143394,0.00262019,47.48,75.0846,5.0796,14,0.00080822,6,2.61E-05,3.91E-05,1,0
5,8,300,157.332,0.007742665,0.000223473,1,0.000131454,0.000985908,0.003799033,33.0417,57.7716,5.8581,29,0.0018929,6,0,0,1,1
4,4,100,67.6194,0.001565762,0.000398308,4,4.12E-05,0.00112625,0.001661905,49.4333,89.9174,7.1322,17,0.00083782,6,9.61E-05,0.0002747,0,1
2,10,200,75.9642,0.000609665,0.000136864,4,0.000124421,0.000323496,0.00209028,45.1018,78.3095,6.5417,15,0.00093316,6,0,0,0,1
5,12,200,164.1114,0.003372032,0.000403892,7,0.000112714,0.001568605,0.004987601,40.4604,43.7815,5.6365,32,0.0012774,8,0.000216036,0.0010896,0,1
4,14,270,101.7864,0.001453176,0.000538213,2,5.38E-05,0.000304987,0.004180122,22.569,54.6094,4.2961,15,0.00096878,4,0,0.00021529,1,0
2,8,100,79.128,0.00050077,8.99E-05,4,1.93E-05,0.001720596,0.002754237,50.5327,67.1422,5.345,28,0.00043657,6,0,6.42E-06,0,1
4,20,1200,120.7014,0.005495624,0.000239888,5,0,2.18E-05,0.003612864,44.8387,60.9175,4.8089,31,0.00051612,5,0,0,0,1
6,20,800,108.5424,0.002100536,0.000398378,2,0,0.000434594,0.003078372,28.4762,61.9294,5.8353,11,0.0025351,4,0,0,0,0
5,28,800,84.1578,0.002368246,0.0006004,4,0,0,0.00278519,48.8675,77.7485,4.9042,15,0.00086724,6,5.00E-05,0.00010007,0,0
3,2,30,66.7818,0.000685853,0.000168228,2,5.18E-05,0.001112894,0.002406957,56.7784,97.9785,4.9355,19,0.00042704,6,0,0,0,1
6,28,2000,129.1464,0.00263107,0.000599729,4,7.74E-05,0.000338557,0.005146063,25.0245,43.0827,4.1917,35,0.00083188,9,0.000174115,0.00048365,1,0
3,8,600,62.2194,0.001099196,0.000321716,0,4.02E-05,0.000201072,0.002386059,44.3164,90.8989,4.5393,14,0.00071046,7,0,0.00010724,1,0
3,6,150,72.141,0.001237902,0.000393878,5,1.88E-05,0.000271963,0.003376097,45.9164,68.8778,3.7528,24,0.00079713,8,0.000121915,0.00035637,1,0
4,20,100,83.9658,0.002672697,0.000376919,3,0,0.000171327,0.002912555,44.0476,78.0706,4.6118,10,0.00071957,3,0,0,1,1
5,56,540,199.6854,0.005146297,0.000453133,1,3.24E-05,0.0002913,0.004790264,25.3831,33.9054,6.7095,29,0.0020876,7,0,1.62E-05,1,0
4,12,800,66.6738,0.000320895,4.58E-05,2,0,0.000194829,0.002292106,38.5126,72.16,5.46,20,0.0010314,9,0.000252132,0.00014899,0,1
2,24,250,73.9722,0.002647278,0.000454884,7,7.46E-06,0.000186428,0.002684564,58.8858,88.6889,4.4111,24,0.00058166,8,0.0001044,0.00023863,0,1
6,8,730,130.941,0.004758302,0.00075655,10,7.96E-05,0.000139365,0.003384566,36.8047,57.2471,5.7765,11,0.00059728,2,0,0,1,1
2,8,280,55.047,0.000642809,0.000126454,0,7.38E-05,9.48E-05,0.002529085,62.8452,83.8667,3.9333,22,0.00052689,6,0,0.00017914,1,1
6,10,1600,181.104,0.00563541,0.000581793,10,0,0.000456309,0.005007985,20.8037,39.2255,5.6993,30,0.0017226,8,0.000365047,0.001175,1,0
4,36,1000,98.6694,0.004474848,0.000462915,1,0.000257175,0.000360045,0.002391729,52.6957,62.5806,5.828,17,0.0005915,3,0,0,1,1
4,6,50,107.4186,0.003028577,0.000310623,4,0.000220025,0.000336509,0.003559226,37.3723,56.0436,5.0873,24,0.00095776,7,0,0,0,0
4,4,140,119.8716,0.00254677,0.000416528,3,4.76E-05,0.000642643,0.002784786,42.6609,67.6068,7.1496,20,0.0023445,5,0,1.19E-05,0,0
5,24,200,111.8556,0.004400404,0.000625494,0,9.88E-05,0.000197524,0.003917567,48.1798,54.1513,4.3529,31,0.0010096,8,0.000164604,0.00038408,0,0
3,10,200,87.162,0.000398548,6.64E-05,1,0.000387477,0.00087459,0.002634842,38.8354,60.0168,6.1975,21,0.0011181,7,0,3.32E-05,0,1
2,24,50,109.038,0.004300867,0.000177855,6,0,0,0.003395421,28.555,63.1429,4.8571,13,0.0010186,6,0,8.08E-05,0,0
6,42,700,163.4436,0.005399935,0.000526231,4,0.000161917,0.001068653,0.004663212,27.2557,42.4514,5.3681,32,0.00084197,9,0.000170013,0.00029955,0,0
6,16,900,127.6602,0.002737658,0.000577128,5,0.000517935,0.000384752,0.003344383,22.6667,64.6372,6.4779,21,0.0026637,6,0,0,0,0
5,12,600,142.5096,0.004059267,0.000543574,7,5.26E-05,9.64E-05,0.003480624,39.7778,56.7456,6.6977,33,0.0012537,9,8.77E-05,7.01E-05,1,1
5,6,550,106.4316,0.001608439,9.35E-05,0,0,0.000243136,0.003198175,25.1294,64.7953,5.7251,11,0.0010099,3,0,0,0,0
5,8,700,68.6388,0.000441021,8.82E-05,2,2.94E-05,0.000264613,0.002734329,84.6087,75.0968,4.6559,25,0.00061743,3,0,0,1,1
6,40,2000,128.0802,0.002780837,0.000302863,4,0.001142621,0.000702093,0.003551762,25.2451,50.9612,6.1395,20,0.00106,8,5.51E-05,0.0003304,1,1
6,16,625,189.1506,0.014199348,0.000218758,3,0.000159096,0.000218758,0.003758651,21.1915,48.254,5.6561,18,0.0012728,4,0.000119322,9.94E-05,1,0
3,8,100,98.634,0.002241685,6.52E-05,3,3.91E-05,0.000430091,0.003101866,52.4388,70.9076,5.1849,19,0.0014336,7,0.000312793,0.00014336,1,0
3,14,1300,38.6472,0.000264364,0.000107704,0,9.79E-06,0.00015666,0.002457604,54.496,100.988,2.9482,20,0.00054831,7,0,0,1,1
2,16,450,114.942,0.001744367,0.000299987,2,2.22E-05,8.89E-05,0.002577663,31.2208,61.5517,8.1379,22,0.0013888,7,0.000155549,0.00097773,0,1
6,28,750,211.0536,0.016280083,0.000680606,7,5.44E-05,0.000231406,0.004954808,33.1129,41.7143,4.706,21,0.00088479,8,0.000108897,0.00032669,0,0
5,10,350,77.7252,0.001308278,0.000407775,1,6.80E-05,0.0010874,0.002395678,37.5429,73.3333,5.7234,16,0.00066263,4,0,0.00033981,0,1
4,6,1200,62.8314,0.000969892,0.000190663,4,5.80E-05,0.000207242,0.002395716,44.0139,84.2907,4.7232,23,0.00059686,9,4.14E-05,7.46E-05,1,1
5,6,160,134.571,0.003169386,0.000469539,4,0,0.000484212,0.004871464,28.5921,49.506,4.4849,25,0.0018341,7,0,0,0,1
4,10,400,119.232,0.003384716,0.000407797,2,0.000142729,0.000448577,0.003221597,30.6242,68.4557,5.9304,16,0.00063209,5,0,0.00022429,0,1
4,8,600,83.2656,0.00413375,0.000344479,4,2.30E-05,0.000252618,0.003284035,80.6761,69.5385,3.5664,14,0.00050524,7,0,0.00016076,0,1
4,16,612,109.4994,0.002078967,0.000185924,2,0,0.000354946,0.00451288,41.2632,52.6742,4.2734,19,0.0015212,7,0.000118315,0.0011832,1,1
5,20,1300,110.7312,0.003174056,0.000395489,6,1.01E-05,0.000253519,0.004360524,31.8228,48.1395,4.1279,27,0.00057802,7,0.000324504,0.00020282,0,1
4,4,180,107.4084,0.001604398,0.000388326,8,0,0.000398545,0.00396501,30.5633,51.4124,4.8144,22,0.0011445,8,7.15E-05,0.00012263,1,1
2,10,400,53.8788,0.001312051,6.91E-05,4,0,9.87E-05,0.001588272,21.325,105.3416,5.677,14,0.00047352,7,0,0,1,1
3,12,300,72.0948,0.003530229,0.000104239,1,3.47E-05,0.000319666,0.00228631,73.9634,89.1793,3.7356,37,0.00042391,7,0,0,1,1
5,6,180,162.4398,0.011680389,0.000520782,5,9.92E-05,0.000669576,0.004067057,33.7914,55.8293,4.6159,13,0.00081837,7,0,7.44E-05,1,0
5,20,1000,111.0876,0.00314119,0.000803906,7,0,0.000223307,0.003543143,25.6371,55.6303,5.063,12,0.00064015,4,0,0,0,1
5,14,450,117.4128,0.005267559,0.000459866,5,0,0.000167224,0.003239967,53.013,53.7032,5.4129,18,0.0018604,6,0,0,1,0
5,10,150,164.4894,0.008501586,0.000571856,8,3.05E-05,0.000236367,0.004902708,40.0312,43.3468,4.633,30,0.0008616,9,0.000190619,0.00056423,0,1
6,28,1600,195.1986,0.00601194,0.000336332,5,6.31E-05,0.000294291,0.003930884,30.9462,41.5829,7.6631,13,0.0014084,5,0,2.10E-05,0,0
5,28,730,116.2062,0.004315562,0.000342087,5,9.21E-05,0.000263144,0.003499816,41.4792,59.1429,5.2368,29,0.0012105,5,0.000171044,0.00017104,1,0
6,14,300,207.576,0.010294786,0.000724185,5,0.000127797,0.002499148,0.00576508,20.5235,37.9901,4.9458,34,0.002059,7,0,0,0,0
5,18,770,193.6086,0.007317992,0.000652098,7,0.000101438,0.000579643,0.005303733,17.9945,39.1803,5.6421,28,0.0028692,6,0,0,1,0
5,36,720,335.499,0.035638249,0.000137356,5,1.14E-05,0.000417792,0.004761687,24.2551,43.0048,5.7007,28,0.00056659,11,0,0,0,0
5,8,500,188.76,0.010450774,0.000302759,2,0.000392465,0.000695223,0.004339538,22.2383,47.0904,5.9328,23,0.00063916,6,0,0,1,0
3,12,500,62.898,0.002032802,0.0004158,6,0,1.16E-05,0.004019404,58.5591,60.3678,2.454,26,0.00072765,6,0,8.09E-05,0,1
6,24,1000,146.6856,0.00495663,0.000333619,4,0,0.000691069,0.004313221,28.8864,48.9061,5.3066,30,0.0015847,7,0,0,1,1
2,28,300,76.8504,0.000714417,0.000357209,1,0,0.000103706,0.001947364,42.5714,82.5089,7.2249,18,0.00038025,3,0,0,1,0
4,4,415,59.181,0.00163768,0.000545893,4,7.66E-05,0.000239427,0.002537925,62.5909,84.4528,3.883,24,0.00083321,8,0,0,0,1
4,4,500,100.4322,0.000686271,7.52E-05,3,9.40E-06,0.000667469,0.003797992,45.6675,66.7822,4.8589,25,0.0010905,9,0.000216222,0.00011281,1,1
6,20,500,157.9002,0.008130081,0.000207871,4,2.31E-05,0.000207871,0.00297949,18.5,52.9302,7.1318,13,0.0007622,7,0,0,1,0
3,10,200,87.2484,0.000250529,5.57E-05,0,0,0.000194856,0.003423895,27.2787,49.9512,4.7967,17,0.00055673,3,0,0.00019486,1,1
4,14,150,130.4472,0.002257278,0.000570806,10,2.59E-05,0.001037829,0.003567537,37.3869,50.5018,6.3309,21,0.0010897,7,0.000350267,5.19E-05,1,0
6,24,1000,189.375,0.010655402,0.000819646,6,0.000204912,0.000559566,0.006107941,30.031,34.7148,3.9626,46,0.0011191,9,0.00038618,0.00043347,1,1
7,24,1000,286.4538,0.017851845,0.000717041,6,4.95E-05,0.001298091,0.006206112,20.4232,30.9801,5.7171,30,0.0013723,6,0,0,0,1
6,10,350,178.368,0.005271462,0.000878577,4,0.000448254,0.000914437,0.00372947,17.1594,42.5962,7.4519,20,0.00091444,5,0,0,0,1
1,4,120,68.6598,0.000302046,0.000322876,0,0,6.25E-05,0.002395534,48.6812,87.513,5.413,23,0.0005416,6,0,0.00020831,1,1
5,12,500,136.5768,0.002483105,0.000179193,2,0,5.12E-05,0.002303912,34.7416,61.2889,10.0333,17,0.00058878,4,0,7.68E-05,0,1
6,10,400,262.611,0.015699405,0.000409226,7,0.000167411,0.000427827,0.004501488,25.9917,33.8017,7.4215,22,0.0024182,6,0.000130208,0,0,1
3,20,730,91.308,0.003788959,0.000383354,4,3.57E-05,0.00022288,0.003093574,42.0578,78.6052,4.4265,21,0.00074888,5,0,0,0,0
6,20,1800,176.5188,0.007170979,0.000383475,10,0.000242867,0.00030678,0.004141528,24.644,44.8519,5.9877,23,0.002352,7,0,0,1,1
6,42,2200,209.8398,0.013061048,0.000769712,2,0.000108241,0.000396883,0.004389763,27.8791,48.3616,6.474,21,0.0018281,8,0.000252562,9.62E-05,0,0
3,40,480,108.4692,0.002186696,0.000441014,3,0.000275634,0.000128629,0.003371922,32.7104,56.654,5.4251,23,0.00098309,6,0,0,0,1
6,10,430,166.902,0.008271028,0.000443925,4,0.000186916,0.000490654,0.003130841,31.4286,52.6866,7.3209,15,0.0018458,5,0,2.34E-05,0,0
4,12,350,89.9394,0.001259391,0.00068398,10,0.000455987,0.000401702,0.002725062,31.616,68.6056,5.8367,20,0.0011183,7,0.000173709,0.00016285,0,1
4,20,639,197.5674,0.014814309,0.000273075,5,0.000238941,0.000386856,0.004574003,40.1297,45.1343,4.8085,25,0.00093301,8,2.28E-05,0,0,0
6,10,1000,91.866,0.003012876,0.000435321,6,0.000126014,0.00013747,0.004685424,36.3039,49.7311,3.088,29,0.0014091,7,0,8.02E-05,1,1
5,12,730,166.5636,0.002171249,0.000319693,3,2.66E-05,0.000173167,0.005528026,23.1111,38.6699,5.1133,31,0.0019048,6,0,0,0,1
3,28,360,99.2874,0.001925926,0.000207407,7,0,0.000355556,0.003155556,53.9434,60.7887,5.1268,18,0.0013926,7,0.000474074,0.00016296,0,0
7,16,1250,216.6852,0.011957259,0.000395749,6,0.000527665,0.00083861,0.005691241,21.6119,32.6225,5.0083,33,0.00068785,8,3.77E-05,0,0,1
6,24,750,130.5,0.004479419,0.000514528,6,7.57E-05,0.000559927,0.004297821,31.7314,48.5211,4.7923,24,0.0026029,8,0.000196731,0.00016646,0,1
3,12,480,52.8438,0.001540674,0.000366827,4,7.34E-05,8.80E-05,0.00256779,65.0345,82.24,3.44,20,0.0011445,6,0,0.00017608,0,0
5,24,365,200.9172,0.021356313,0.00070251,8,4.68E-05,0.000218559,0.00360622,54.3652,62.9957,4.6883,20,0.001046,6,0,0.00045273,0,0
5,14,1000,144.6822,0.005275382,0.000309666,5,6.64E-05,0.000165893,0.004888299,34.1769,42.6516,4.2873,22,0.002046,6,0,0,1,0
5,12,300,125.7894,0.002228461,0.00065801,3,7.02E-05,0.000307071,0.004570977,36.5231,47.5701,4.6564,32,0.00094753,8,0.000280751,0.0012809,1,1
6,28,1000,113.601,0.002717159,0.000449294,4,0,0.001476252,0.003637142,22.7456,60.0471,5.2588,22,0.00087719,4,0,0.00032092,1,1
6,4,300,157.9686,0.006376781,0.00055108,8,0.000216496,0.001148083,0.005504238,29.2745,41.8308,4.1681,41,0.0011874,11,0.000354266,0.0011284,1,0
2,6,100,61.7502,0.001604413,0.000360542,6,0,0.000306461,0.001910874,72.4952,85.5472,5.3585,16,0.0010095,5,0,0,0,0
4,10,700,83.085,0.000855174,0.000301826,5,0.000138337,0.00064138,0.003219478,31.451,57.7344,4.6289,20,0.0011067,9,0,0.00050304,0,1
4,2,300,38.2104,0.000915704,0.000152617,5,3.82E-05,6.36E-05,0.001678791,73.5573,123.4848,3.3182,14,0.00059775,6,1.27E-05,0,1,1
3,24,400,83.376,0.000518938,0.000120333,5,1.50E-05,0.00081225,0.002955687,58.8878,67.0636,5.2875,29,0.0005039,7,0,0,0,0
5,10,500,119.5992,0.004280868,0.000447761,9,0.000108548,0.00041384,0.003995929,37.2925,48.4958,4.7487,31,0.0011601,11,9.50E-05,0.00074627,1,1
5,10,700,129.9594,0.002072839,0.000412339,6,8.92E-05,0.000167164,0.004446574,24.6131,54.5865,5.1504,25,0.0014265,6,0.000267463,0.00064637,0,0
3,12,450,78.825,4.55E-05,0.000204732,3,0,0.000636943,0.003184713,45.6978,72.9714,4.6786,7,0.00034122,4,0,0,1,0
5,12,600,81.711,0.00081314,0.000108419,1,1.36E-05,0,0.003333875,49.1755,66.5691,4.3902,20,0.00079959,7,0,0.00029815,0,0
3,20,800,76.5426,0.001061473,0.000250534,6,3.96E-05,0.000415359,0.002749281,57.1442,82.9353,4.9448,23,0.00057359,6,0,0,1,1
4,6,50,88.1628,0.001505596,0.000189681,1,1.19E-05,0.000343797,0.002702959,51.8062,81.2632,5.5132,15,0.0011737,6,8.30E-05,7.11E-05,0,0
5,20,1000,134.2992,0.00360351,0.000135784,0,0.000208899,0.000323794,0.003008147,10.8571,54.5139,7.2257,32,0.0007207,6,5.22E-05,2.09E-05,1,1
3,12,100,66.8676,0.002616026,0.000321571,7,1.74E-05,0.000338954,0.003050582,75.7029,75.5442,3.4274,19,0.00051278,7,0.000208587,0.00017382,0,1
3,2,50,37.2018,0.000396646,0.000113327,0,1.42E-05,0.000155825,0.001572416,61.7455,139.2072,4.2072,18,0.00045331,6,0,0,1,1
6,24,400,207.8286,0.020629485,0.000428082,6,0,0.000122309,0.003913894,51.6859,49.5417,4.7448,12,0.0012435,6,0,0,1,1
6,4,720,203.2488,0.009916833,0.000387297,6,0.000285377,0.001926291,0.003658934,20.5587,48.1894,7.7493,20,0.0012944,8,6.12E-05,4.08E-05,0,0
5,8,650,169.3164,0.009296994,0.000445746,6,0.000218325,0.000673168,0.004239138,49.8065,52.5064,5.4571,30,0.0015283,8,0.000272906,0.00095517,1,1
5,10,400,172.4688,0.003761308,0.000640995,10,0,8.47E-05,0.005617774,28.0043,42.5231,5.0829,34,0.00086474,12,0.000344686,0.00036283,0,0
4,6,1000,96.756,0.002030248,0.000514918,6,5.88E-05,0,0.003633849,29.0894,56.2105,4.4737,27,0.00067675,7,0,0,1,0
6,16,500,297.0672,0.031281946,0.000645318,7,0.000421693,0.000862554,0.004414997,25.6638,44.3647,5.8408,50,0.00060059,9,0,0,1,1
6,10,500,109.6176,0.00381191,0.000546463,4,0,0.000213254,0.003798582,26.9155,46.0211,4.5825,24,0.0011063,7,1.33E-05,0.00041318,0,0
4,6,200,62.1042,0.000777998,0.000282908,5,0,0.000222285,0.003364588,37.7711,71.1111,3.3814,28,0.00082852,9,0,0.00029301,0,0
6,56,1500,151.9794,0.009491758,0.000563187,4,0,2.75E-05,0.005315934,32.4456,43.3075,3.6227,39,0.0010302,7,0,0.00052198,0,0
6,12,800,133.884,0.005592032,0.000347763,7,6.96E-05,5.56E-05,0.005675495,37.828,40.7059,3.3922,21,0.0011685,4,0,0,0,0
4,24,233,69.1764,0.000330583,2.64E-05,0,9.26E-05,0.00019835,0.001996721,44.1333,93.404,6.3113,15,0.00048926,4,0,0,0,0
6,12,416,149.094,0.003334844,0.000582788,3,4.86E-05,0.001036068,0.004565175,26.3772,45.1915,5.2057,23,0.0012789,6,0,0,0,1
5,12,200,111.342,0.004375405,0.000300954,2,0.000370405,0.000439856,0.00236133,18.8515,65.098,7.1765,12,0.00069451,4,0,0,0,1
6,4,800,87.2346,0.004684838,0.000425894,1,2.66E-05,0.00015971,0.003087734,53.7391,79.5862,3.6983,14,0.00087841,4,0,7.99E-05,1,1
6,24,500,135.414,0.002131358,0.00051732,8,4.14E-05,0.000362124,0.005007656,27.4865,50.6942,4.6302,26,0.0015623,8,0.000103464,0.00016554,0,0
4,16,600,125.832,0.000655684,3.07E-05,1,0,0.000153676,0.003657487,38.809,57.2773,6.056,20,0.0011577,7,7.17E-05,3.07E-05,0,0
3,6,120,58.6008,0.001649115,0.000376114,3,5.79E-05,0.000231455,0.002112024,37.5,104.9863,4.6712,10,0.0010126,4,0,0.00014466,0,1
6,42,1200,186.7284,0.007943017,0.000364498,8,9.11E-05,0.000592309,0.00387279,23.2756,47.4196,7.0902,23,0.00063787,7,0,0,0,1
4,8,1000,79.2294,0.001579552,0.000276146,3,4.42E-05,0.000276146,0.003313745,35.5318,66.9467,4.09,20,0.00078425,9,0,0.00034242,1,0
4,20,1000,145.7052,0.00217092,0.000428563,5,0,0.000976563,0.002655688,36.4456,61.8095,10.2513,27,0.00094846,8,6.32E-05,4.22E-05,0,1
4,16,150,115.536,0.002781529,0.000391574,1,1.35E-05,0.000391574,0.002795031,25.4369,73.4879,6.9179,18,0.00086416,7,0,1.35E-05,0,0
6,56,1825,165.321,0.002385513,0.000310383,7,8.87E-06,0.001223795,0.004460644,16.2072,40.1272,6.3161,29,0.0016761,7,0.000443404,0.0001951,0,0
5,10,780,174.2208,0.007967358,0.000411883,6,0,0.000141585,0.004453483,38.7362,45.9769,5.4971,24,0.0012743,8,0.00019307,0.00021881,1,0
4,12,350,129.5088,0.003193273,0.000144492,1,0.000130043,0.001112588,0.002730898,48.1915,63.6614,7.6878,20,0.00089585,6,0,0,0,0
3,4,400,156.9822,0.009796018,0.000299974,4,9.37E-06,0.000234355,0.003215344,34.9942,64.5831,6.5802,27,0.0010593,6,0.000206232,0.00023435,1,1
4,36,1260,82.5732,0.001679813,0.000584283,6,0,0.000766871,0.002118025,39.9298,77.2414,6.4483,8,0.0016068,4,0,0,1,0
6,14,500,135.3252,0.00357184,0.000302454,2,0,0.000316857,0.002966932,34.5561,47.7864,7.3447,18,0.0011954,10,0.000100818,0.00040327,1,0
1,20,315,54.0792,0.001257583,0.000295902,3,3.70E-05,0.00048084,0.002182276,37.1724,111.661,3.9492,14,0.0013316,5,0,0,0,1
4,24,200,85.0974,0.001286369,0.000152025,3,7.02E-05,9.36E-05,0.003379643,54.375,76.1522,4.5848,26,0.00099401,7,0.00024558,0.00042099,0,0
5,10,500,67.1406,0.001152074,0.000260146,5,0,5.57E-05,0.00384644,56.5437,55.7295,3.029,15,0.0011335,3,0,0,1,1
6,18,750,157.167,0.004756011,0.000265205,3,0.000123762,0.000636492,0.00519802,20.3003,38.2177,4.5544,16,0.0017857,6,0,3.54E-05,0,1
4,8,480,156.2238,0.006424053,0.000733712,7,0.000179352,0.00055436,0.00464684,25.0423,40.3088,5.1193,29,0.0015653,7,0.000293485,0.00058697,0,0
