A1_1,A1_2,A1_3,A2,A3_0,A3_1,A3_2,A3_3,A4_0,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A6_1,A6_2,A6_3,A6_4,A7_1,A7_2,A7_3,A7_4,A8,A9_1,A9_2,A9_3,A9_4,A10_1,A10_2,A11,A12_1,A12_2,A12_3,A14_1,A14_2,A15_1,A15_2,A16,A17_1,A17_2,A17_3,A18,A19,A20,A21,A13
0,0,0,36,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2299,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
1,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1352,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,1,0,0,1,2,1,0,1
0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7228,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,4,0,1,0,0,0,0,1,2,0,1,0,1,1,1,0,1
0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2073,0,1,0,0,0,0,1,0,4,0,1,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,1,0,24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2333,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,2,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1
0,1,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5965,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,1,2,0,0,0,1,2,1,0,1
0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1262,1,0,0,0,0,0,1,0,3,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3378,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,2,1,0,1
0,1,0,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2225,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,0,1,0,0,0,2,0,0,1,1,2,1,1,0
0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,783,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,1,1,0,1,0,2,1,1,0,1
0,1,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6468,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0
0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9566,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,2,0,0,1,0,1,0,1,2,0,0,1,1,1,1,0,1
0,0,1,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1961,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1
1,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6229,1,0,0,0,0,1,0,0,4,0,1,0,0,0,1,4,0,0,0,0,0,1,0,2,0,1,0,1,2,1,1,1
0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1391,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,2,1,0,1
0,1,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1537,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,4,1,0,0,0,0,0,1,2,0,0,1,1,2,1,0,0
0,1,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1953,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0
0,1,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14421,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,2,1,1,1
0,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3181,1,0,0,0,0,1,0,0,4,0,1,0,0,1,0,4,0,1,0,0,0,0,1,1,0,0,1,1,2,1,0,1
0,0,0,27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5190,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,1,0,0,0,0,1,4,0,0,1,2,2,1,0,0
0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2171,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,2,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1
0,1,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1007,0,0,0,1,0,0,1,0,4,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1819,1,0,0,0,0,0,1,0,4,0,0,1,0,1,0,4,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,1
0,0,0,36,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2394,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,4,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8133,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,2,0,1,0,0,0,1,0,2,0,1,0,1,2,1,0,0
1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,4,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0
0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5954,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,0,1,0,0,1,2,0,1,0,1,1,1,0,0
1,0,0,36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1977,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0
1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1526,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0
1,0,0,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3965,1,0,0,0,0,1,0,0,4,0,0,1,0,1,0,3,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1
0,1,0,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4771,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,4,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
0,0,0,54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9436,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,0,1,0,2,1,1,0,1
0,1,0,30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3832,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5943,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0,1,1,2,1,1,0
0,0,0,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1213,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,3,0,1,0,0,1,0,1,1,0,0,1,1,2,1,0,0
0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1568,0,1,0,0,0,0,1,0,3,0,1,0,0,1,0,4,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
1,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1755,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,1,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0
1,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2315,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,4,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1412,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,1,2,1,0,1
0,1,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1295,1,0,0,0,0,1,0,0,4,0,1,0,0,1,0,1,0,1,0,0,0,0,1,2,0,0,1,1,1,1,0,1
0,1,0,36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12612,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,0
1,0,0,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2249,0,1,0,0,0,0,0,1,4,0,0,1,0,1,0,3,0,0,1,0,0,0,1,1,0,0,0,2,2,1,0,1
1,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1108,1,0,0,0,0,0,0,1,4,0,0,1,0,1,0,3,1,0,0,0,0,0,1,2,0,0,1,1,1,1,1,1
0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,618,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1409,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,3,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,3,0,1,0,1,0,0,1,1,0,1,0,2,1,1,1,1
0,0,1,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3617,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,4,0,0,0,0,0,1,0,2,0,0,1,1,1,1,0,1
0,1,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1318,0,0,0,1,0,0,0,0,4,0,0,1,0,1,0,4,1,0,0,0,0,0,1,1,0,0,1,1,2,1,0,0
0,1,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15945,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,4,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0
0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0
0,1,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2622,0,1,0,0,0,0,1,0,4,0,0,1,0,1,0,4,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
0,1,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2337,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,1,0,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7057,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,4,0,1,0,1,0,1,0,2,0,0,0,2,2,1,0,1
0,0,0,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1469,0,1,0,0,0,0,0,0,4,0,0,0,1,1,0,4,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
0,1,0,36,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2323,1,0,0,0,0,0,0,1,4,0,0,1,0,1,0,4,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1
0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,932,1,0,0,0,0,0,1,0,3,0,1,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1919,1,0,0,0,0,0,0,1,4,0,0,1,0,1,0,3,0,0,1,0,0,1,0,1,0,0,1,1,2,1,0,1
0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2445,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,4,0,0,1,0,0,1,0,1,0,0,1,1,2,1,0,1
0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11938,1,0,0,0,0,0,1,0,2,0,0,1,0,0,1,3,0,0,1,0,0,0,1,2,0,0,0,2,2,1,1,1
0,0,0,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6458,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,4,0,0,0,1,0,0,1,2,0,0,0,2,2,1,1,1
0,1,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6078,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
1,0,0,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7721,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,1,1,2,2,0,1
0,1,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1410,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,1,1,0,0,1,1,2,1,0,1
0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1449,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,1,0,0,1,2,0,0,1,2,1,1,0,1
0,0,1,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,392,1,0,0,0,0,1,0,0,4,0,1,0,0,1,0,4,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,1
0,1,0,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6260,1,0,0,0,0,0,0,1,3,0,0,1,0,1,0,3,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1
0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7855,1,0,0,0,0,0,1,0,4,0,1,0,0,1,0,2,1,0,0,0,1,0,1,2,0,0,1,1,2,1,1,1
1,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1680,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3578,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,2,1,0,0
1,0,0,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7174,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,3,0,0,1,0,0,0,1,1,0,0,0,1,2,1,1,1
1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2132,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,3,1,0,0,0,0,1,0,2,0,0,1,1,1,2,0,1
1,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4281,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,4,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,1
0,1,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2366,0,0,1,0,0,0,0,1,3,1,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,0,0,1,2,1,0,1
1,0,0,21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1835,1,0,0,0,0,0,1,0,3,0,1,0,0,1,0,2,1,0,0,0,0,0,1,2,0,0,1,1,2,1,1,1
0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3868,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,2,0,0,1,0,0,1,0,2,0,0,0,1,2,1,0,0
0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1768,1,0,0,0,0,0,1,0,3,0,0,1,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1
0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,781,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,0,0,0,0,0,2,0,0,1,1,2,1,0,0
0,1,0,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1924,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,3,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2121,1,0,0,0,0,0,1,0,4,0,0,1,0,1,0,2,0,1,0,0,0,0,1,2,0,0,1,1,1,1,0,1
1,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,701,1,0,0,0,0,0,1,0,4,0,0,0,1,1,0,2,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
0,1,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,639,1,0,0,0,0,0,1,0,4,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1
0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1860,1,0,0,0,1,0,0,0,4,0,0,1,0,1,0,2,0,0,1,0,0,0,1,2,0,0,0,1,2,1,0,1
1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3499,1,0,0,0,0,0,1,0,3,0,1,0,0,0,1,2,1,0,0,0,0,0,1,2,0,0,1,1,1,1,1,1
0,1,0,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8487,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
