"age","agesq","priors_count","sexbin","chargebin","jailtime","is_recid","racebin"
39,1521,1,1,0,4,0,0
30,900,3,0,1,530,1,0
30,900,1,1,1,70,0,1
48,2304,2,1,0,1,0,0
22,484,1,1,1,1,0,1
46,2116,6,1,1,23,1,0
31,961,0,1,1,2,0,0
25,625,1,1,0,2,1,1
32,1024,5,0,1,1,0,1
62,3844,8,1,1,16,0,1
28,784,6,1,0,1,1,1
78,6084,1,1,0,1,1,0
56,3136,0,1,1,1,0,0
22,484,1,1,1,0,1,1
47,2209,23,1,0,1,1,1
23,529,0,1,0,1,1,1
66,4356,3,1,1,2,1,1
45,2025,8,1,0,71,1,0
37,1369,2,1,0,0,1,1
39,1521,0,1,1,1,1,0
26,676,9,1,1,79,1,1
45,2025,2,1,1,359,0,0
23,529,0,1,1,1,1,1
34,1156,2,1,0,26,1,1
23,529,1,0,0,1,0,1
50,2500,1,1,1,2,0,0
37,1369,0,0,0,0,0,0
44,1936,4,1,0,1,0,0
35,1225,23,0,1,2,1,1
26,676,2,1,1,1,1,1
27,729,0,1,0,3,0,1
28,784,0,0,1,29,0,1
28,784,7,0,1,1,1,0
38,1444,2,1,1,1,0,1
28,784,1,0,1,39,0,1
56,3136,7,1,1,1,1,0
38,1444,15,1,1,2,0,1
28,784,2,1,0,1,0,1
51,2601,0,0,0,1,1,0
51,2601,0,1,0,1,0,0
48,2304,0,1,1,1,0,1
37,1369,4,1,1,2,1,0
30,900,2,0,1,3,0,1
41,1681,5,0,0,0,0,1
27,729,11,1,1,223,1,1
37,1369,0,1,0,2,1,1
54,2916,11,1,1,130,0,1
23,529,2,1,1,72,0,1
41,1681,0,1,0,1,0,1
52,2704,0,1,1,1,0,0
43,1849,13,1,1,51,1,0
52,2704,0,1,1,14,0,1
28,784,1,1,1,3,0,0
30,900,11,1,0,1,1,1
28,784,1,1,1,6,0,0
22,484,0,1,1,1,0,1
30,900,4,1,1,0,0,1
31,961,0,1,1,31,1,0
37,1369,0,1,1,35,1,0
32,1024,14,1,1,1,0,1
53,2809,1,1,0,1,0,0
28,784,25,1,1,26,1,1
44,1936,8,1,0,5,1,0
25,625,0,1,1,0,0,1
22,484,1,1,0,6,1,0
23,529,5,0,1,1,1,0
29,841,1,1,0,1,0,1
20,400,1,1,1,1,1,1
30,900,2,1,1,2,1,1
27,729,4,1,1,1,0,1
37,1369,2,0,1,1,0,1
20,400,0,1,1,3,0,1
52,2704,0,0,1,1,0,1
23,529,0,0,1,4,1,1
48,2304,0,0,1,2,0,1
25,625,0,1,1,0,0,0
27,729,0,1,1,2,1,0
30,900,11,1,1,1,1,1
22,484,3,1,0,1,1,1
22,484,1,0,1,1,0,0
41,1681,2,0,0,1,0,1
52,2704,3,1,1,25,1,1
43,1849,0,1,1,41,0,1
37,1369,3,1,1,3,0,0
70,4900,1,1,0,13,0,0
46,2116,3,1,1,14,0,0
21,441,0,1,0,1,1,1
26,676,1,1,0,2,1,1
34,1156,5,1,0,1,0,0
34,1156,5,1,0,1,0,1
23,529,0,1,1,1,1,0
34,1156,5,1,1,3,1,1
39,1521,6,1,1,3,1,1
58,3364,2,1,1,2,0,0
21,441,0,0,0,1,0,1
23,529,4,1,0,11,1,1
62,3844,0,1,1,2,0,0
37,1369,5,1,1,11,0,0
32,1024,5,0,1,0,0,1
27,729,0,1,0,1,0,1
44,1936,0,1,0,1,1,0
28,784,3,1,0,1,1,0
42,1764,0,0,1,1,0,0
27,729,0,1,1,17,0,1
20,400,0,1,1,1,1,1
51,2601,0,0,0,1,0,0
56,3136,0,1,0,1,0,0
29,841,7,1,1,1,0,1
20,400,0,1,1,210,1,1
27,729,8,1,1,68,0,0
24,576,2,1,1,19,1,1
53,2809,36,1,1,33,1,0
28,784,2,1,0,1,1,0
36,1296,0,0,1,12,0,1
25,625,2,0,0,1,1,0
28,784,1,1,1,1,0,0
21,441,0,0,1,1,1,1
36,1296,0,1,0,1,0,0
24,576,0,1,1,1,0,1
29,841,0,1,1,1,0,1
30,900,0,0,0,4,0,0
32,1024,12,1,1,2,1,1
23,529,1,1,1,1,0,1
47,2209,3,1,1,0,0,1
37,1369,0,1,1,19,0,0
19,361,2,1,1,1,1,1
21,441,0,0,1,0,0,0
69,4761,0,1,0,1,0,0
21,441,2,1,1,2,0,0
26,676,6,1,0,4,1,1
22,484,0,1,1,0,0,0
23,529,0,0,1,1,1,1
49,2401,3,1,1,4,0,1
29,841,2,1,0,51,1,1
60,3600,0,0,0,1,0,0
23,529,3,1,1,0,1,1
30,900,0,1,1,2,0,0
21,441,1,1,1,0,1,1
22,484,2,1,0,1,1,0
21,441,4,1,1,220,1,1
21,441,0,1,1,12,1,1
34,1156,1,1,0,0,0,0
50,2500,1,0,0,1,1,0
40,1600,0,1,1,8,1,0
25,625,7,1,1,127,1,1
53,2809,1,0,0,1,0,0
24,576,0,0,1,1,0,1
42,1764,1,1,1,4,0,1
28,784,1,1,0,2,0,1
26,676,6,1,1,1,1,1
22,484,4,1,1,260,1,1
21,441,3,1,0,6,0,0
37,1369,23,1,1,17,1,1
35,1225,2,1,1,5,0,1
53,2809,2,1,1,1,0,1
29,841,7,1,1,1,1,1
48,2304,23,1,1,361,1,0
52,2704,0,0,0,0,0,0
27,729,12,1,1,32,1,1
28,784,5,1,1,51,1,1
33,1089,3,1,0,0,0,0
36,1296,14,1,1,1,1,1
29,841,2,1,1,2,0,1
22,484,0,1,0,21,1,1
25,625,0,1,1,0,0,0
56,3136,5,1,1,12,0,1
27,729,9,1,1,52,1,1
52,2704,4,1,1,7,1,0
32,1024,3,1,1,1,0,1
39,1521,0,0,0,1,0,0
56,3136,0,1,0,1,0,0
22,484,0,0,1,0,0,1
53,2809,11,1,1,110,0,1
25,625,0,1,0,0,1,0
22,484,0,1,1,2,0,0
58,3364,2,0,0,1,0,0
31,961,7,1,0,1,1,1
22,484,1,1,1,1,1,0
28,784,8,1,1,3,1,1
20,400,0,1,1,1,1,1
29,841,0,1,0,5,1,0
58,3364,21,1,0,59,1,1
22,484,3,1,1,106,0,1
37,1369,0,1,1,0,0,0
57,3249,1,1,1,26,1,1
27,729,3,1,0,0,0,0
26,676,3,1,1,33,0,1
24,576,3,1,1,0,1,0
33,1089,0,1,1,1,0,0
29,841,2,1,1,1,0,1
24,576,3,0,1,1,1,1
19,361,1,1,1,32,1,0
36,1296,2,1,0,1,0,0
24,576,0,0,1,0,0,0
34,1156,0,1,0,0,0,0
20,400,1,1,1,1,1,1
24,576,1,1,0,2,1,1
61,3721,4,1,1,2,0,0
50,2500,3,0,1,0,0,1
30,900,1,1,0,4,0,1
38,1444,5,1,1,1,0,1
24,576,0,1,0,1,0,0
46,2116,2,0,1,10,1,1
41,1681,0,1,0,4,1,0
27,729,13,1,0,1,1,1
26,676,1,1,0,13,1,1
29,841,3,1,1,1,1,1
52,2704,6,1,1,2,1,0
28,784,1,1,1,4,1,0
55,3025,5,1,1,119,1,1
26,676,10,1,1,1,1,1
28,784,5,1,1,1,0,1
63,3969,2,1,1,3,0,0
42,1764,0,1,1,1,0,1
23,529,6,1,1,1,1,1
54,2916,28,1,1,6,1,1
35,1225,8,1,1,10,1,1
24,576,6,0,1,26,1,1
54,2916,2,1,0,1,0,1
58,3364,12,1,0,4,1,1
23,529,1,1,0,0,1,0
35,1225,1,1,0,1,0,1
20,400,1,1,1,2,1,1
51,2601,0,1,1,35,0,0
37,1369,3,1,1,7,0,0
47,2209,3,1,1,1,0,0
34,1156,4,1,1,1,1,0
56,3136,0,1,1,1,0,0
59,3481,1,1,1,0,1,0
24,576,6,0,1,3,1,0
21,441,2,1,0,9,1,0
26,676,1,1,1,1,0,1
30,900,0,0,0,1,0,0
29,841,0,1,0,1,1,0
54,2916,0,1,0,1,0,1
29,841,4,1,1,8,1,1
59,3481,0,0,0,1,0,0
38,1444,0,1,1,1,0,1
27,729,1,1,0,1,1,0
66,4356,33,1,1,14,1,1
27,729,2,1,1,0,0,0
51,2601,1,1,0,1,0,0
35,1225,1,1,1,74,0,0
52,2704,4,1,0,1,0,0
26,676,0,0,0,1,0,1
48,2304,0,0,0,1,0,0
33,1089,2,1,0,0,0,1
34,1156,6,0,1,52,0,1
59,3481,10,1,1,127,1,1
29,841,5,1,1,2,1,1
24,576,0,1,1,1,0,0
48,2304,1,1,1,129,1,0
52,2704,4,1,0,1,0,1
20,400,0,1,1,0,1,1
25,625,4,1,1,5,1,0
24,576,0,1,1,15,0,0
23,529,0,1,0,1,0,0
27,729,6,1,1,1,1,0
25,625,1,1,0,1,1,1
31,961,0,1,1,0,0,1
25,625,6,1,1,4,1,1
32,1024,1,1,1,1,1,0
21,441,0,1,1,0,1,0
25,625,0,1,1,0,0,0
35,1225,0,1,1,2,0,1
42,1764,14,1,1,2,1,1
24,576,9,1,0,10,1,0
47,2209,1,1,0,0,0,0
27,729,5,1,1,1,1,1
46,2116,2,1,1,1,1,0
44,1936,1,1,0,0,0,1
23,529,2,1,1,1,0,0
42,1764,8,1,1,2,0,1
58,3364,6,1,1,144,0,1
26,676,3,1,1,2,1,1
39,1521,3,1,1,3,1,1
21,441,3,1,1,0,1,1
63,3969,1,1,0,6,0,0
22,484,3,1,1,8,1,1
50,2500,3,1,0,1,0,1
38,1444,0,1,1,10,0,1
41,1681,1,1,1,6,0,0
28,784,16,1,1,1,1,1
30,900,0,0,0,1,0,1
23,529,1,1,1,0,0,1
25,625,2,1,1,12,1,0
40,1600,5,1,1,0,0,0
27,729,5,1,0,64,1,1
44,1936,11,1,0,180,0,0
35,1225,6,0,1,1,1,1
42,1764,0,1,0,0,0,0
38,1444,15,1,1,0,1,1
25,625,0,0,0,1,0,1
49,2401,2,0,0,0,1,0
50,2500,5,1,1,1,1,0
66,4356,0,1,0,1,1,0
46,2116,0,0,0,1,0,0
30,900,5,1,1,1,1,1
22,484,0,0,0,0,0,0
23,529,1,1,0,10,0,0
25,625,0,1,0,1,1,1
21,441,0,0,1,2,0,0
27,729,0,1,0,1,0,1
24,576,0,0,1,1,0,0
20,400,1,1,1,1,0,1
31,961,3,1,0,20,1,1
27,729,3,1,0,6,1,1
40,1600,0,1,1,1,0,1
22,484,11,1,1,0,1,1
38,1444,1,0,1,1,0,1
30,900,1,1,0,1,0,1
27,729,6,1,1,34,1,0
59,3481,0,0,0,0,0,0
37,1369,2,1,0,1,0,0
28,784,5,1,0,1,1,1
38,1444,0,1,1,0,0,0
22,484,0,1,1,1,1,1
25,625,4,1,1,32,1,1
51,2601,0,1,0,0,0,0
29,841,2,1,0,25,1,0
28,784,10,1,1,0,0,1
55,3025,9,1,0,4,1,1
23,529,3,0,1,6,0,0
22,484,0,0,0,8,0,1
19,361,2,0,1,22,1,0
31,961,1,1,0,0,0,1
29,841,0,1,0,1,0,1
61,3721,15,1,1,1,1,1
20,400,4,1,1,2,1,1
26,676,3,1,1,1,1,0
27,729,5,1,0,1,0,0
25,625,1,1,1,1,0,0
23,529,3,1,1,9,1,0
38,1444,0,1,1,2,0,1
27,729,18,1,1,0,1,1
35,1225,0,0,1,0,1,0
58,3364,4,0,1,1,1,1
57,3249,0,0,0,2,1,0
21,441,0,1,1,1,0,1
22,484,0,0,1,1,0,1
30,900,0,1,1,3,0,1
30,900,8,1,1,2,1,1
31,961,10,0,1,1,0,1
45,2025,1,0,1,1,0,0
39,1521,2,1,1,5,1,0
31,961,0,1,1,2,1,1
22,484,1,1,1,1,1,1
27,729,13,1,1,2,1,1
38,1444,1,1,1,1,1,0
31,961,23,1,1,55,1,1
47,2209,20,1,1,2,0,1
22,484,3,1,1,1,0,1
35,1225,1,1,0,80,1,1
65,4225,2,1,0,5,1,1
35,1225,0,1,0,1,0,1
33,1089,0,0,1,1,0,1
53,2809,1,1,0,1,0,0
21,441,0,1,1,1,0,1
37,1369,11,1,1,2,0,1
31,961,0,0,0,0,0,1
59,3481,2,0,1,29,0,0
27,729,0,1,0,1,0,1
36,1296,0,1,0,1,1,1
46,2116,17,1,1,6,1,1
22,484,3,1,1,323,0,1
28,784,0,0,0,1,0,0
34,1156,15,0,1,3,1,0
23,529,2,1,0,80,1,1
27,729,3,1,1,1,0,1
48,2304,3,1,1,1,1,0
31,961,5,1,1,7,0,1
36,1296,4,1,0,2,0,1
44,1936,14,1,1,2,1,1
53,2809,2,1,1,1,0,0
33,1089,3,1,0,2,1,1
47,2209,2,1,1,2,1,0
57,3249,20,1,1,33,1,1
28,784,2,1,0,6,0,1
24,576,1,1,0,1,0,1
44,1936,1,1,1,1,0,1
46,2116,0,1,1,1,0,1
37,1369,6,1,1,1,0,1
26,676,10,1,0,6,1,1
27,729,10,1,1,0,1,1
40,1600,1,1,1,2,0,0
60,3600,9,0,1,385,1,0
53,2809,1,1,1,6,0,0
28,784,0,1,1,1,0,1
46,2116,2,0,1,20,0,0
23,529,0,1,1,1,1,1
50,2500,18,1,1,249,1,1
45,2025,0,1,0,2,0,1
22,484,1,1,1,1,0,1
26,676,1,1,1,16,1,0
62,3844,0,1,1,3,0,0
34,1156,0,1,0,0,1,0
21,441,0,1,0,1,0,0
25,625,0,1,1,1,1,0
68,4624,0,1,0,3,0,0
21,441,1,1,1,1,0,0
22,484,0,1,1,0,0,1
42,1764,1,1,1,1,0,0
22,484,1,1,1,1,1,0
45,2025,0,1,1,3,1,1
36,1296,4,0,1,1,1,1
48,2304,2,1,1,1,0,1
23,529,6,1,1,8,1,1
24,576,0,1,1,1,0,1
29,841,0,1,1,1,0,1
24,576,0,1,1,1,0,1
50,2500,11,1,1,2,0,1
34,1156,10,1,1,2,1,1
23,529,0,1,1,0,0,1
22,484,0,0,0,2,0,0
30,900,22,1,1,3,1,0
21,441,0,1,1,1,1,1
53,2809,0,0,1,1,0,0
25,625,7,1,0,1,1,1
25,625,1,0,0,0,0,1
71,5041,8,1,1,25,0,1
39,1521,10,1,0,41,0,1
37,1369,0,0,1,37,0,1
20,400,0,1,1,8,1,1
29,841,3,0,1,1,0,1
22,484,2,1,1,1,1,1
26,676,4,1,1,83,1,1
47,2209,19,0,1,31,1,1
20,400,1,0,1,17,1,0
23,529,0,0,1,1,0,1
53,2809,0,0,1,0,0,1
23,529,0,0,1,1,1,1
26,676,5,1,1,22,1,1
25,625,6,1,1,6,1,1
27,729,4,1,1,0,1,1
29,841,1,1,0,3,0,1
31,961,0,1,0,1,0,1
41,1681,8,1,1,1,1,1
25,625,0,1,0,0,0,0
47,2209,0,1,0,0,0,0
37,1369,4,1,1,1,0,1
35,1225,4,0,1,2,0,1
24,576,1,1,0,1,1,0
21,441,2,1,1,6,1,0
22,484,0,1,1,3,1,0
57,3249,11,1,1,140,0,1
48,2304,0,1,1,11,0,0
37,1369,3,0,1,28,0,1
31,961,0,1,0,5,0,0
22,484,1,1,1,4,1,1
31,961,2,1,0,0,0,0
24,576,0,1,1,1,1,1
32,1024,22,1,1,0,1,1
63,3969,0,1,0,1,0,1
20,400,0,1,1,1,0,0
24,576,1,0,0,0,1,1
36,1296,1,0,0,1,0,1
28,784,2,1,1,0,0,0
36,1296,3,1,1,1,1,1
33,1089,0,0,0,2,0,1
39,1521,0,1,1,0,0,1
30,900,17,1,1,4,1,1
24,576,1,1,1,1,1,1
35,1225,7,1,1,1,0,1
24,576,0,1,1,1,0,1
26,676,8,1,1,2,0,0
28,784,14,1,1,1,1,1
32,1024,0,1,0,1,0,1
32,1024,1,0,0,1,1,0
33,1089,5,1,0,6,1,1
29,841,16,1,1,17,0,1
34,1156,1,1,0,1,1,0
43,1849,0,1,0,0,0,0
47,2209,2,1,1,0,0,0
25,625,3,1,0,2,1,1
23,529,1,0,1,2,0,1
39,1521,2,1,0,1,1,0
35,1225,13,1,1,5,1,1
43,1849,20,1,1,1,0,1
25,625,3,1,1,1,1,1
48,2304,25,1,1,6,1,1
22,484,1,1,0,1,1,1
52,2704,9,1,0,39,1,1
26,676,5,1,1,35,1,0
67,4489,4,1,0,28,1,1
34,1156,4,1,0,1,0,1
56,3136,4,1,0,0,1,0
28,784,1,1,1,5,1,1
29,841,2,1,0,1,0,1
37,1369,6,1,1,20,1,1
51,2601,0,1,1,1,0,0
20,400,1,1,0,1,1,1
26,676,4,1,0,293,1,0
39,1521,1,0,0,10,1,0
21,441,1,1,1,2,0,1
21,441,1,1,1,3,1,1
24,576,3,1,1,1,1,0
26,676,4,1,0,1,1,1
48,2304,1,1,1,1,0,0
24,576,5,1,1,2,1,1
26,676,0,1,1,0,0,0
46,2116,0,1,1,1,0,0
24,576,7,1,0,1,0,1
21,441,0,0,0,1,0,0
24,576,1,1,1,1,1,1
36,1296,9,1,0,2,0,1
30,900,5,1,1,1,1,1
22,484,1,0,1,2,0,0
25,625,0,1,1,10,1,1
31,961,25,1,0,118,1,1
24,576,0,1,1,2,0,1
39,1521,13,1,1,2,1,1
30,900,4,0,1,1,0,1
40,1600,0,1,1,22,0,0
52,2704,0,0,1,2,0,1
23,529,3,1,1,34,0,1
26,676,1,0,0,1,0,1
22,484,1,1,1,20,1,0
42,1764,3,1,1,1,0,0
23,529,6,1,1,136,1,1
28,784,1,1,1,2,0,1
50,2500,1,1,1,1,1,0
32,1024,1,1,1,1,0,1
51,2601,3,1,1,1,0,1
19,361,1,1,0,1,1,0
32,1024,4,1,1,108,0,1
31,961,1,0,1,0,1,0
29,841,1,0,1,180,0,1
26,676,9,1,1,11,1,1
27,729,0,1,1,28,1,0
52,2704,1,1,1,3,1,0
28,784,3,1,0,2,1,1
32,1024,3,1,1,3,1,1
27,729,5,1,0,0,1,1
42,1764,0,0,0,0,0,0
33,1089,0,1,1,1,1,1
28,784,3,0,0,45,0,0
53,2809,0,0,0,1,0,0
24,576,0,1,1,1,0,0
39,1521,6,1,0,36,1,1
22,484,1,1,1,0,1,1
46,2116,2,1,1,9,1,1
25,625,0,1,0,1,0,1
52,2704,1,1,1,4,0,0
28,784,4,1,0,1,1,1
57,3249,1,0,1,2,1,0
49,2401,3,1,1,1,1,1
21,441,2,1,1,1,1,1
32,1024,19,1,1,15,1,1
63,3969,3,1,0,220,0,1
29,841,2,1,1,2,0,0
46,2116,0,1,0,1,0,1
28,784,10,1,0,1,1,1
27,729,1,1,1,3,0,1
33,1089,1,0,0,0,0,0
32,1024,14,1,1,2,1,1
24,576,2,1,1,1,0,1
26,676,5,1,1,3,1,1
25,625,1,1,1,1,0,0
21,441,1,1,1,109,0,1
25,625,2,1,0,1,1,1
22,484,6,1,1,2,1,1
26,676,0,0,1,1,0,0
20,400,0,1,1,1,0,0
30,900,1,1,0,2,1,1
45,2025,0,1,1,1,1,1
33,1089,7,1,1,79,1,1
35,1225,2,1,1,1,0,0
41,1681,5,1,1,1,0,0
23,529,0,1,0,2,0,0
21,441,0,0,0,1,1,0
54,2916,0,1,1,2,0,1
27,729,10,1,1,1,1,1
22,484,0,1,0,1,0,0
23,529,2,1,1,6,1,1
36,1296,5,1,0,19,1,1
29,841,10,1,1,23,1,1
54,2916,4,1,0,79,1,1
22,484,2,1,0,14,1,0
26,676,0,1,0,1,1,1
20,400,0,0,1,1,0,1
52,2704,6,1,0,2,1,1
29,841,0,1,1,2,0,1
23,529,6,0,0,18,0,1
35,1225,1,1,0,9,0,1
32,1024,8,1,1,1,1,0
21,441,1,1,0,1,1,1
30,900,4,1,0,1,1,1
30,900,3,0,1,26,0,1
23,529,2,1,1,6,1,1
32,1024,8,1,1,2,1,0
29,841,6,1,1,40,1,1
42,1764,0,1,0,0,0,0
21,441,0,1,1,1,1,1
22,484,0,0,0,1,0,1
29,841,0,1,0,1,0,1
30,900,6,1,1,3,1,1
51,2601,17,1,0,0,0,1
24,576,2,1,1,0,0,0
23,529,2,1,0,5,0,1
36,1296,5,1,1,1,0,1
39,1521,1,1,1,5,0,1
29,841,2,1,1,38,0,1
44,1936,6,1,1,0,0,0
25,625,2,1,1,58,0,1
31,961,0,1,1,0,0,1
35,1225,17,1,0,2,1,1
27,729,11,1,0,2,1,1
33,1089,1,1,1,2,0,1
28,784,6,1,1,1,1,1
60,3600,1,1,1,1,0,0
54,2916,0,0,1,1,0,1
24,576,3,1,0,2,0,0
75,5625,5,0,1,1,0,1
36,1296,16,1,1,0,1,1
25,625,5,0,0,47,1,1
46,2116,0,1,1,1,0,0
27,729,1,1,1,7,0,1
28,784,3,1,0,0,1,1
42,1764,13,1,0,1,1,1
59,3481,2,1,0,0,0,1
39,1521,1,1,1,15,0,0
46,2116,5,1,0,12,0,0
55,3025,2,1,1,2,0,0
35,1225,1,1,0,1,1,1
43,1849,0,1,0,1,1,1
53,2809,0,0,0,1,0,0
21,441,0,0,0,1,0,1
55,3025,17,1,1,26,1,1
27,729,1,1,1,1,1,1
40,1600,0,1,1,2,0,1
37,1369,0,0,0,1,0,0
32,1024,2,1,0,5,1,0
32,1024,2,1,0,2,0,1
36,1296,4,1,0,3,1,1
31,961,0,0,1,2,0,1
26,676,4,0,1,1,1,1
50,2500,30,0,0,4,1,0
47,2209,4,1,1,0,0,1
36,1296,2,1,1,1,1,1
38,1444,0,0,1,1,0,0
53,2809,0,1,1,1,0,0
53,2809,2,1,1,1,0,1
57,3249,19,1,1,118,0,1
22,484,5,1,1,19,1,1
21,441,0,1,1,1,1,1
26,676,0,1,1,1,1,1
27,729,2,1,1,21,0,1
49,2401,4,0,1,4,0,0
47,2209,1,1,1,1,1,0
30,900,8,1,1,2,1,1
44,1936,3,1,1,0,0,0
34,1156,1,1,1,2,0,1
45,2025,10,1,1,1,1,1
50,2500,2,1,0,0,0,0
29,841,1,1,0,0,0,0
26,676,0,1,1,0,0,0
22,484,1,0,1,1,1,1
49,2401,0,1,1,0,0,0
49,2401,1,1,1,19,1,1
59,3481,2,1,1,13,0,0
32,1024,6,1,0,28,0,0
24,576,1,1,0,0,1,1
32,1024,0,1,1,0,0,1
27,729,9,1,1,800,1,1
25,625,2,1,0,12,0,0
20,400,0,1,0,1,1,0
37,1369,18,1,0,1,0,1
30,900,5,0,1,7,1,0
23,529,1,1,1,1,1,1
20,400,0,0,1,0,0,1
50,2500,8,1,1,12,0,0
50,2500,7,1,1,1,0,1
40,1600,3,1,1,1,0,0
24,576,2,0,1,2,0,0
23,529,3,0,1,1,1,1
54,2916,3,1,0,2,1,0
25,625,4,1,0,1,0,0
46,2116,1,1,0,2,0,0
22,484,0,0,0,0,0,0
32,1024,1,0,1,2,0,0
25,625,0,1,0,4,1,1
33,1089,16,1,1,1,1,1
33,1089,4,1,0,2,1,1
24,576,0,1,1,0,0,1
33,1089,12,1,0,2,1,1
37,1369,0,1,0,1,1,0
40,1600,0,0,0,0,0,0
43,1849,9,1,1,1,1,1
35,1225,5,1,1,2,1,1
25,625,11,1,1,7,1,1
61,3721,1,1,1,0,1,1
52,2704,1,0,1,1,0,1
39,1521,1,1,0,0,1,1
47,2209,5,1,1,1,0,1
52,2704,6,0,0,33,0,0
37,1369,0,1,0,0,0,0
24,576,0,0,1,1,0,1
34,1156,14,0,1,4,0,1
25,625,1,1,0,0,1,0
62,3844,0,0,0,0,0,0
23,529,0,1,1,1,1,0
60,3600,0,0,1,13,0,0
35,1225,0,1,0,1,0,0
24,576,0,0,1,1,0,1
30,900,0,1,0,0,0,0
35,1225,4,1,1,1,1,0
28,784,0,0,0,0,0,0
56,3136,0,1,1,1,0,1
23,529,2,1,1,1,1,1
23,529,1,1,0,1,0,0
21,441,0,1,1,2,1,1
35,1225,2,0,1,14,0,1
33,1089,3,1,0,0,0,0
41,1681,9,1,0,1,1,1
24,576,0,1,1,4,0,1
28,784,9,1,1,1,1,1
49,2401,3,1,1,1,0,1
21,441,0,1,1,2,1,1
27,729,3,0,1,3,1,1
50,2500,4,1,0,2,0,1
23,529,0,0,0,0,0,1
34,1156,0,1,0,1,0,0
25,625,4,1,1,33,1,1
33,1089,2,0,1,43,1,0
29,841,11,0,1,35,1,0
32,1024,6,0,1,4,1,1
52,2704,3,1,1,1,0,1
26,676,3,0,0,1,0,0
31,961,2,1,1,1,1,0
30,900,0,0,1,1,0,0
20,400,0,1,0,4,1,1
