centerpixcol,centerpixrow,regionpixcount,shortline5,shortline2,vedgemean,vedgestdev,hedgemean,hedgestdev,intensity,rawred,rawblue,rawgreen,exred,exblue,exgreen,value,saturation,hue,DummyMain,class=path?(vs grass)
242,183,9,0,0,1.4999999,0.9368979,2.1666667,1.798147,15.37037,12.666667,12.444445,21,-8.111111,-8.777778,16.88889,21,0.42024404,2.0758736,1,0
242,164,9,0.11111111,0,0.38888898,0.534027,3.222223,1.0470421,19.814816,15.111111,18.777779,25.555555,-14.111111,-3.1111112,17.222221,25.555555,0.40952933,2.4598064,1,0
242,183,9,0,0,1.4999999,0.9368979,2.1666667,1.798147,15.37037,12.666667,12.444445,21,-8.111111,-8.777778,16.88889,21,0.42024404,2.0758736,0,0
241,218,9,0,0,1.7777777,3.4962964,1.6666664,1.0222222,8.444445,5.4444447,7.3333335,12.555555,-9,-3.3333333,12.333333,12.555555,0.5692659,2.361442,0,0
240,190,9,0,0,1.5555553,0.75030917,1.3333334,1.0954453,20.11111,15.888889,17.555555,26.88889,-12.666667,-7.6666665,20.333334,26.88889,0.4093088,2.252231,1,0
238,180,9,0.11111111,0,0.55555564,0.34074086,1.7222222,1.6629628,13.592592,11.111111,11.888889,17.777779,-7.4444447,-5.111111,12.555555,17.777779,0.3762527,2.2128983,1,0
238,162,9,0.22222222,0,0.94444466,0.7123257,2.666667,0.73029745,19,15.777778,17.333334,23.88889,-9.666667,-5,14.666667,23.88889,0.34003016,2.2914152,1,0
238,211,9,0.11111111,0,1.0555559,0.49065375,1.6111113,1.2546215,20.518518,16.11111,19.222221,26.222221,-13.222222,-3.8888888,17.11111,26.222221,0.38528243,2.4163542,0,0
237,191,9,0,0,1,0.31111106,1.5,1.0111109,7.3333335,5.3333335,5.4444447,11.222222,-6,-5.6666665,11.666667,11.222222,0.5358197,2.1224225,0,0
237,191,9,0,0,1,0.31111106,1.5,1.0111109,7.3333335,5.3333335,5.4444447,11.222222,-6,-5.6666665,11.666667,11.222222,0.5358197,2.1224225,0,0
236,240,9,0,0,2.5555553,1.6688874,3.3888886,2.4532666,22.481482,19.555555,19.777779,28.11111,-8.777778,-8.111111,16.88889,28.11111,0.329382,2.1418114,0,0
235,249,9,0,0.11111111,1.6111113,2.4259405,2.666667,1.5055449,22.851852,19.777779,21.222221,27.555555,-9.222222,-4.888889,14.111111,27.555555,0.28660962,2.2826295,0,0
234,177,9,0,0,1.111111,0.4740733,0.88888884,0.5629634,16.25926,12.555555,15.444445,20.777779,-11.111111,-2.4444444,13.555555,20.777779,0.3963988,2.4621184,0,0
234,161,9,0,0,0.888889,0.501849,1.6111113,1.4050179,19.037037,15.111111,17,25,-11.777778,-6.111111,17.88889,25,0.39559862,2.292736,0,0
234,164,9,0,0,0.5000002,0.2111112,3,8.04445,13.666667,11.666667,15,14.333333,-6,4,2,16.88889,0.29914993,2.87512,1,0
233,184,9,0,0,0.5000002,0.077777766,0.7777777,0.785185,11.851851,9.777778,9.888889,15.888889,-6.2222223,-5.888889,12.111111,15.888889,0.40555555,2.1286457,0,0
233,211,9,0.11111111,0,2.6666667,6.0888896,1.6666666,1.7333333,15.444445,12.444445,15.222222,18.666668,-9,-0.6666667,9.666667,18.666668,0.33542147,2.5549645,1,0
233,211,9,0.11111111,0,2.6666667,6.0888896,1.6666666,1.7333333,15.444445,12.444445,15.222222,18.666668,-9,-0.6666667,9.666667,18.666668,0.33542147,2.5549645,1,0
233,184,9,0,0,0.5000002,0.077777766,0.7777777,0.785185,11.851851,9.777778,9.888889,15.888889,-6.2222223,-5.888889,12.111111,15.888889,0.40555555,2.1286457,0,0
232,175,9,0,0,1.1666669,0.62360954,2.8333333,2.1679492,15.37037,12.444445,13.555555,20.11111,-8.777778,-5.4444447,14.222222,20.11111,0.38741234,2.2421958,1,0
232,175,9,0,0,1.1666669,0.62360954,2.8333333,2.1679492,15.37037,12.444445,13.555555,20.11111,-8.777778,-5.4444447,14.222222,20.11111,0.38741234,2.2421958,1,0
231,233,9,0,0,1.4444442,0.74074095,1.1666664,0.3444444,12.592592,8.888889,11.888889,17,-11.111111,-2.1111112,13.222222,17,0.47822163,2.4915802,1,0
231,198,9,0.11111111,0,0.9999997,0.13333334,1.111111,1.2296298,15.814815,12.444445,14.222222,20.777779,-10.111111,-4.7777777,14.888889,20.777779,0.40090325,2.3248901,1,0
230,162,9,0,0,1.6666666,1.0749676,0.9444442,0.5741337,17.333334,13.777778,15.888889,22.333334,-10.666667,-4.3333335,15,22.333334,0.38252184,2.3503675,1,0
230,180,9,0.11111111,0,1.1111112,0.5185183,1.9444443,1.2629623,13.851851,9.666667,13.111111,18.777779,-12.555555,-2.2222223,14.777778,18.777779,0.48688295,2.4879174,1,0
228,182,9,0.11111111,0,0.88888854,0.68853056,0.7777775,0.6554615,16.777779,14.555555,12.777778,23,-6.6666665,-12,18.666666,23,0.44435817,1.9164191,0,0
227,222,9,0,0,2.111111,2.6074066,2.6111114,7.26296,9.333333,8.555555,7.6666665,11.777778,-2.3333333,-5,7.3333335,11.777778,0.37369296,1.9050448,1,0
226,233,9,0,0,2.7777774,1.3185201,1.777778,1.0962962,11.703704,8.333334,11,15.777778,-10.111111,-2.1111112,12.222222,15.777778,0.47394413,2.476615,1,0
225,244,9,0,0,3.3888886,2.1951127,2.9999998,1.5202343,12.259259,10.333334,9.333334,17.11111,-5.7777777,-8.777778,14.555555,17.11111,0.48014903,1.9879022,0,0
225,222,9,0.11111111,0,1.5,0.4777781,1.7777778,1.7185186,14,10.777778,13.666667,17.555555,-9.666667,-1,10.666667,17.555555,0.38572726,2.5573087,0,0
224,242,9,0,0,1.8888888,0.829629,2.222222,3.2740743,11.740741,8.666667,10.777778,15.777778,-9.222222,-2.8888888,12.111111,15.777778,0.45454717,2.386597,0,0
223,185,9,0,0,0.5,0.34960312,2.3888886,2.0807757,12.962963,11.555555,9.777778,17.555555,-4.2222223,-9.555555,13.777778,17.555555,0.44541803,1.8388497,0,0
223,185,9,0,0,0.5,0.34960312,2.3888886,2.0807757,12.962963,11.555555,9.777778,17.555555,-4.2222223,-9.555555,13.777778,17.555555,0.44541803,1.8388497,0,0
222,189,9,0,0,0.833333,1.0055403,1.0000006,1.1925697,17.296297,14.555555,14.111111,23.222221,-8.222222,-9.555555,17.777779,23.222221,0.41042024,2.0604427,1,0
222,244,9,0.11111111,0,2.9444444,0.640741,2.2777777,2.151852,10.37037,9.666667,9.777778,11.666667,-2.1111112,-1.7777778,3.8888888,11.888889,0.22648169,2.32339,0,0
222,194,9,0,0,2.2777774,1.1434193,2.2777777,1.4207466,20.185184,16.555555,17.88889,26.11111,-10.888889,-6.888889,17.777779,26.11111,0.3721296,2.224382,1,0
221,195,9,0,0,1.2222223,1.408966,2.9444447,1.5263131,14.740741,11.666667,12.444445,20.11111,-9.222222,-6.888889,16.11111,20.11111,0.43448815,2.1937644,1,0
221,201,9,0.11111111,0,1.4444443,1.1287485,2.4444447,0.8344436,19.148148,14.666667,17.666668,25.11111,-13.444445,-4.4444447,17.88889,25.11111,0.41676173,2.389747,1,0
220,220,9,0.11111111,0,2.277778,1.12963,2.2777777,4.151854,6.4444447,5.6666665,5.3333335,8.333334,-2.3333333,-3.3333333,5.6666665,8.333334,0.42735383,1.9843658,0,0
217,208,9,0,0,2.5000002,2.1666656,2.6666667,2.4444458,16.074074,12.666667,14.444445,21.11111,-10.222222,-4.888889,15.111111,21.11111,0.40212956,2.3109324,0,0
217,245,9,0.11111111,0.11111111,3.1666667,3.0166214,2.1666667,1.2427571,9.740741,7.4444447,7.111111,14.666667,-6.888889,-7.888889,14.777778,14.666667,0.57276654,2.0694523,0,0
216,169,9,0,0,0.8333333,0.3888888,1.9444443,0.41851807,16.592592,12.777778,15.666667,21.333334,-11.444445,-2.7777777,14.222222,21.333334,0.40075645,2.44578,1,0
215,235,9,0,0,1.388889,1.06284,1.0555557,0.49065349,9.185185,6.7777777,8,12.777778,-7.2222223,-3.5555556,10.777778,12.777778,0.48219234,2.3107576,0,0
215,219,9,0,0,2.5555556,2.2377238,3.2222223,2.491467,13.222222,10.333334,10.222222,19.11111,-8.666667,-9,17.666666,19.11111,0.49459508,2.0861003,1,0
215,190,9,0.11111111,0,1.388889,1.0417223,2.6111114,1.8429048,19.88889,16,17.11111,26.555555,-11.666667,-8.333333,20,26.555555,0.40352198,2.2044082,1,0
214,246,9,0,0,2.8333328,1.9177537,2.9999993,1.988857,17.518518,14.222222,15.444445,22.88889,-9.888889,-6.2222223,16.11111,22.88889,0.39154765,2.2328491,1,0
214,236,9,0,0,0.5,0.25555578,3.7777774,1.3629639,16.592592,12.888889,14.666667,22.222221,-11.111111,-5.7777777,16.88889,22.222221,0.41959706,2.3066785,0,0
212,160,9,0,0,1.4444441,1.2938602,1.4444443,1.7722135,23.25926,17.777779,23.444445,28.555555,-16.444445,0.5555556,15.888889,28.555555,0.37821564,2.6425967,1,0
212,239,9,0,0,1.9444443,1.4516913,2.3333333,2.8205595,10.37037,7.6666665,9.666667,13.777778,-8.111111,-2.1111112,10.222222,13.777778,0.4459687,2.4263785,1,0
212,235,9,0,0,1.4444447,1.4555132,1.944445,2.2648687,25.88889,21.11111,24,32.555557,-14.333333,-5.6666665,20,32.555557,0.35188085,2.3560238,0,0
212,234,9,0,0,0.4444445,0.11851848,1.0555555,0.28518525,7.111111,6,4.2222223,11.111111,-3.3333333,-8.666667,12,11.111111,0.62132436,1.8382597,0,0
211,206,9,0,0,0.94444466,1.1296302,2.166667,1.1000005,16.074074,13.555555,14.555555,20.11111,-7.5555553,-4.5555553,12.111111,20.11111,0.3273603,2.252368,0,0
210,232,9,0,0,1.8333335,1.2064636,1.4999999,1.7224014,8.814815,6.5555553,7.2222223,12.666667,-6.7777777,-4.7777777,11.555555,12.666667,0.49138823,2.2013178,0,0
209,249,9,0,0,2.4444444,3.6296306,2.777778,4.2074075,10.518518,7.5555553,8.111112,15.888889,-8.888889,-7.2222223,16.11111,15.888889,0.5333069,2.1567793,0,0
209,249,9,0,0,2.4444444,2.3851857,2.8888886,3.8074067,8.555555,8,7.5555553,10.111111,-1.6666666,-3,4.6666665,10.111111,0.30902183,1.9174206,1,0
208,240,9,0.11111111,0,1.0555557,0.86296326,2.4444444,5.007407,14.148149,10.888889,13,18.555555,-9.777778,-3.4444444,13.222222,18.555555,0.42162097,2.3924873,1,0
208,240,9,0.11111111,0,1.0555557,0.86296326,2.4444444,5.007407,14.148149,10.888889,13,18.555555,-9.777778,-3.4444444,13.222222,18.555555,0.42162097,2.3924873,1,0
207,215,9,0,0,3.222222,2.0403335,2.4999998,1.6158936,23.814816,18.11111,22.666666,30.666666,-17.11111,-3.4444444,20.555555,30.666666,0.40983668,2.4717567,1,0
207,172,9,0,0,1.0000004,0.29814267,1.6666673,0.9189365,19,16.444445,16.333334,24.222221,-7.6666665,-8,15.666667,24.222221,0.34374964,2.0838537,1,0
207,217,9,0,0,0.77777785,0.47407398,2.0555556,0.9074081,6.296296,5,4.2222223,9.666667,-3.8888888,-6.2222223,10.111111,9.666667,0.58261186,1.9761382,0,0
206,233,9,0,0,1.388889,1.5408032,1.7222227,0.82775885,26.814816,21.88889,25.11111,33.444447,-14.777778,-5.111111,19.88889,33.444447,0.34575516,2.3893497,1,0
205,204,9,0,0,1.555555,0.9583939,1.8888887,1.7722135,19,14.333333,17.11111,25.555555,-14,-5.6666665,19.666666,25.555555,0.43934208,2.3487284,1,0
205,156,9,0,0,2.1666667,1.2777781,2,2.3555562,18.25926,13.444445,17.333334,24,-14.444445,-2.7777777,17.222221,24,0.44057688,2.47582,1,0
204,156,9,0,0,0.5000003,0.27888626,1.9999996,0.55777323,23.703703,17.333334,25.444445,28.333334,-19.11111,5.2222223,13.888889,28.333334,0.38903406,2.8649306,1,0
204,156,9,0,0,0.5000003,0.27888626,1.9999996,0.55777323,23.703703,17.333334,25.444445,28.333334,-19.11111,5.2222223,13.888889,28.333334,0.38903406,2.8649306,0,0
202,208,9,0,0,1.7222223,1.3962964,1.8333334,3.0555542,19.25926,15.555555,17.666668,24.555555,-11.111111,-4.7777777,15.888889,24.555555,0.36886615,2.3967707,0,0
200,250,9,0,0,2.2777777,1.420746,1.4444445,1.0255988,9.222222,6.5555553,7.3333335,13.777778,-8,-5.6666665,13.666667,13.777778,0.5633903,2.1929355,1,0
200,215,9,0,0,1.5555559,0.95839405,4.722222,2.6450515,23.037037,17.11111,22.555555,29.444445,-17.777779,-1.4444444,19.222221,29.444445,0.42076695,2.5610487,0,0
200,165,9,0.11111111,0,2.277778,3.9740758,1.7777776,0.9185186,17.333334,12.888889,16.444445,22.666666,-13.333333,-2.6666667,16,22.666666,0.43081954,2.4711971,0,0
200,215,9,0,0,1.5555559,0.95839405,4.722222,2.6450515,23.037037,17.11111,22.555555,29.444445,-17.777779,-1.4444444,19.222221,29.444445,0.42076695,2.5610487,1,0
200,250,9,0,0,2.2777777,1.420746,1.4444445,1.0255988,9.222222,6.5555553,7.3333335,13.777778,-8,-5.6666665,13.666667,13.777778,0.5633903,2.1929355,1,0
200,245,9,0.11111111,0,1.4999999,0.9222229,1.0555552,0.5074078,16.11111,11.888889,15,21.444445,-12.666667,-3.3333333,16,21.444445,0.44538036,2.432783,0,0
199,220,9,0,0,1.1666667,0.83333284,0.88888884,0.47407386,6.6296296,5.3333335,5,9.555555,-3.8888888,-4.888889,8.777778,9.555555,0.5039001,2.0308669,1,0
197,229,9,0,0,1.3888885,1.5740727,1.1666662,0.5666664,17.74074,14.111111,17.88889,21.222221,-10.888889,0.44444445,10.444445,21.222221,0.3357168,2.651605,0,0
197,236,9,0,0,2.4444444,6.829628,3.3333333,7.599998,16.074074,13.111111,16.666668,18.444445,-8.888889,1.7777778,7.111111,18.555555,0.29272884,2.7898002,1,0
197,156,9,0,0,0.9444439,0.49065349,2.0555558,1.705112,16.925926,13.444445,15.555555,21.777779,-10.444445,-4.111111,14.555555,21.777779,0.38463837,2.3635807,1,0
197,236,9,0,0,2.4444444,6.829628,3.3333333,7.599998,16.074074,13.111111,16.666668,18.444445,-8.888889,1.7777778,7.111111,18.555555,0.29272884,2.7898002,0,0
196,244,9,0,0,1.277778,0.5518518,3.6111114,6.9518504,7.740741,6.6666665,7,9.555555,-3.2222223,-2.2222223,5.4444447,9.555555,0.3833719,2.340587,0,0
196,182,9,0,0,1.1666664,0.43333244,0.6111107,0.37407404,19.88889,16.88889,18.11111,24.666666,-9,-5.3333335,14.333333,24.666666,0.31489658,2.2716928,0,0
196,241,9,0,0,1.5555557,1.1287489,1.1666667,1.206464,8.259259,5.888889,7,11.888889,-7.111111,-3.7777777,10.888889,11.888889,0.5094597,2.2773511,0,0
192,157,9,0,0,1.0555559,0.5074076,0.77777797,0.16296285,18.333334,13.888889,17.222223,23.88889,-13.333333,-3.3333333,16.666666,23.88889,0.41818407,2.4386153,0,0
192,239,9,0.11111111,0,2.4999998,2.4333322,2.277778,1.3074071,15.148149,12.222222,14.555555,18.666668,-8.777778,-1.7777778,10.555555,18.666668,0.34430414,2.482445,0,0
191,165,9,0,0,0.33333334,0.17777783,2.4444442,1.140741,14.296296,12,14.111111,16.777779,-6.888889,-0.5555556,7.4444447,17.555555,0.31812865,2.5935428,0,0
188,186,9,0,0,0.88888836,0.1629624,0.77777797,0.2074075,18.518518,15.333333,18.222221,22,-9.555555,-0.8888889,10.444445,22,0.30188268,2.5873964,1,0
186,218,9,0,0,1.1666666,0.74444425,1.1666665,0.65555507,13.703704,10.666667,12.666667,17.777779,-9.111111,-3.1111112,12.222222,17.777779,0.40134683,2.3826835,0,0
186,173,9,0,0,1.4444445,0.82963055,2.1111114,1.9851853,17.148148,13.555555,15.555555,22.333334,-10.777778,-4.7777777,15.555555,22.333334,0.39643326,2.332739,0,0
186,218,9,0,0,1.1666666,0.74444425,1.1666665,0.65555507,13.703704,10.666667,12.666667,17.777779,-9.111111,-3.1111112,12.222222,17.777779,0.40134683,2.3826835,0,0
186,173,9,0,0,1.4444445,0.82963055,2.1111114,1.9851853,17.148148,13.555555,15.555555,22.333334,-10.777778,-4.7777777,15.555555,22.333334,0.39643326,2.332739,0,0
184,197,9,0,0,3.0555553,3.2551951,4.5555553,2.7460418,11.962963,8.888889,9.555555,17.444445,-9.222222,-7.2222223,16.444445,17.444445,0.51518697,2.164262,1,0
183,157,9,0,0,0.6666667,0.4216376,2.1111114,0.62063295,19.666666,16.444445,18.666668,23.88889,-9.666667,-3,12.666667,23.88889,0.31418663,2.4052022,0,0
182,197,9,0.11111111,0,2.166667,0.69121456,2.3888888,1.5834798,12.851851,10.444445,12.777778,15.333333,-7.2222223,-0.22222222,7.4444447,15.333333,0.322069,2.6282077,0,0
180,224,9,0,0,3.7222223,3.7074065,3.6111107,5.618522,15.185185,11.666667,13.333333,20.555555,-10.555555,-5.5555553,16.11111,20.555555,0.4433746,2.2982552,1,0
179,150,9,0,0,1.055555,0.1962963,1.7222223,1.6185163,18.925926,13.444445,20,23.333334,-16.444445,3.2222223,13.222222,23.333334,0.42442176,2.7916744,1,0
176,233,9,0.11111111,0,1.4444443,1.1482676,2.611111,1.90224,12.481482,10.333334,8.333334,18.777779,-6.4444447,-12.444445,18.88889,18.777779,0.554881,1.9036856,0,0
175,212,9,0.11111111,0,1.0000001,0.666667,1.8333334,1.345775,12.296296,10,9,17.88889,-6.888889,-9.888889,16.777779,17.88889,0.4987573,1.9744948,1,0
174,178,9,0,0,1.388889,2.6851842,5,10.4,19.555555,17,18.11111,23.555555,-7.6666665,-4.3333335,12,23.555555,0.29896173,2.2741275,0,0
173,219,9,0,0,2.7777777,3.4962971,2.8333333,6.6111126,5.5925927,4.111111,4.3333335,8.333334,-4.4444447,-3.7777777,8.222222,8.333334,0.56125355,2.1483634,1,0
172,218,9,0,0,2.5555556,2.42963,1.6111108,2.418518,14.925926,11.888889,13.777778,19.11111,-9.111111,-3.4444444,12.555555,19.11111,0.38645566,2.362146,1,0
170,185,9,0,0,0.611111,0.44305348,1.4444447,1.0470417,10.740741,8.111112,9.777778,14.333333,-7.888889,-2.8888888,10.777778,14.333333,0.4351852,2.3628104,0,0
170,226,9,0,0,1.5555553,1.4246508,2.3888888,1.2895594,11.888889,10.111111,8,17.555555,-5.3333335,-11.666667,17,17.555555,0.5483297,1.872506,1,0
169,199,9,0,0,1.277778,0.4430534,1.277778,1.041722,14.518518,11.111111,14.555555,17.88889,-10.222222,0.11111111,10.111111,17.88889,0.37847343,2.6341755,1,0
168,209,9,0,0,1.3333334,0.6666665,0.7222217,0.7123257,22.518518,17.666668,20.88889,29,-14.555555,-4.888889,19.444445,29,0.39033788,2.3893912,0,0
166,222,9,0,0,1.5555555,0.83444345,1.1666665,0.6236094,10.481482,8.666667,6.6666665,16.11111,-5.4444447,-11.444445,16.88889,16.11111,0.58765954,1.8704867,1,0
164,178,9,0.22222222,0,1.3888887,0.86296487,2.5000002,1.4555563,23.814816,20.222221,21.11111,30.11111,-10.777778,-8.111111,18.88889,30.11111,0.32921228,2.1903052,1,0
164,202,9,0.11111111,0,1.4999999,1.8226964,1.6111112,0.82775855,15.111111,12,14.777778,18.555555,-9.333333,-1,10.333333,18.555555,0.35402012,2.5227482,0,0
163,166,9,0,0,1.7777776,1.0962971,2.444445,1.0518519,16.962963,12.333333,16.333334,22.222221,-13.888889,-1.8888888,15.777778,22.222221,0.4462137,2.5158255,0,0
163,177,9,0.11111111,0,1.1666673,0.7,2.5,0.7888896,24.518518,21.222221,21.444445,30.88889,-9.888889,-9.222222,19.11111,30.88889,0.3211389,2.1254158,0,0
163,210,9,0,0,1.5555555,0.5443307,1.4999999,0.9603243,11.851851,9.333334,8.888889,17.333334,-7.5555553,-8.888889,16.444445,17.333334,0.48873982,2.0437257,1,0
163,166,9,0,0,1.7777776,1.0962971,2.444445,1.0518519,16.962963,12.333333,16.333334,22.222221,-13.888889,-1.8888888,15.777778,22.222221,0.4462137,2.5158255,0,0
162,227,9,0,0,1.3888888,0.99629617,3.1666667,8.611113,13.962963,10.111111,14.444445,17.333334,-11.555555,1.4444444,10.111111,17.444445,0.42550126,2.7070513,1,0
162,237,9,0.11111111,0,2.2777777,1.1434193,2.6666667,2.564718,13.222222,10.888889,10,18.777779,-7,-9.666667,16.666666,18.777779,0.47282594,1.9903806,1,0
161,176,9,0,0,0.38888898,0.15185188,1.1666666,0.3888888,13,10.111111,11.777778,17.11111,-8.666667,-3.6666667,12.333333,17.11111,0.40773422,2.3406181,0,0
160,210,9,0,0,1.611111,1.129629,1.222222,1.0074075,17.481482,13.777778,16,22.666666,-11.111111,-4.4444447,15.555555,22.666666,0.40393806,2.3864515,1,0
160,168,9,0,0,1.5,1.1498789,0.6666663,0.47140402,25.11111,20.88889,23,31.444445,-12.666667,-6.3333335,19,31.444445,0.33538613,2.302124,1,0
159,180,9,0.11111111,0,1.5555557,0.87407404,3.277778,3.3962972,21.25926,18.11111,18.11111,27.555555,-9.444445,-9.444445,18.88889,27.555555,0.3588616,2.1139183,1,0
159,210,9,0,0,1.4999999,1.3666656,1.5555555,2.1629632,12.962963,9.444445,12,17.444445,-10.555555,-2.8888888,13.444445,17.444445,0.4604365,2.4287496,1,0
158,186,9,0,0,0.88888884,0.3407409,1.4999999,1.8111099,12.074074,9.333334,10.777778,16.11111,-8.222222,-3.8888888,12.111111,16.11111,0.4288645,2.3195195,0,0
158,219,9,0.11111111,0,2.277778,3.5296311,2.1111112,4.074075,14.888889,11.444445,13.555555,19.666668,-10.333333,-4,14.333333,19.666668,0.42601216,2.3586955,0,0
158,195,9,0,0,2.4444442,2.3444183,2.8333333,1.7224011,11.703704,9.444445,8.555555,17.11111,-6.7777777,-9.444445,16.222221,17.11111,0.5177167,2.011228,0,0
158,151,9,0,0,0.38888898,0.38968158,4.4444447,4.0423675,19,15.222222,18.333334,23.444445,-11.333333,-2,13.333333,23.444445,0.352606,2.5052488,1,0
157,184,9,0,0,1.2777777,0.77407444,1.3333334,0.8444448,19.444445,15.222222,18.222221,24.88889,-12.666667,-3.6666667,16.333334,24.88889,0.3882103,2.4194453,0,0
157,221,9,0,0,1.0555555,0.6469299,1.2222222,0.6206328,12.111111,10.222222,8.111112,18,-5.6666665,-12,17.666666,18,0.5491797,1.8771459,1,0
156,181,9,0,0,0.49999985,0.34960297,1.4999999,0.50552523,11.666667,9,9.777778,16.222223,-8,-5.6666665,13.666667,16.222223,0.44597858,2.2066422,0,0
154,249,9,0,0,3.5,2.306994,4.5555553,3.5381527,18,14.666667,15.666667,23.666666,-10,-7,17,23.666666,0.39839673,2.214996,1,0
153,208,9,0,0,2.4444444,2.429628,1.9444442,3.0851858,16.851852,13,16,21.555555,-11.555555,-2.5555556,14.111111,21.555555,0.3969092,2.4832914,0,0
153,204,9,0.11111111,0,2.388889,1.6920295,3.3333333,1.3824291,19.407408,15.333333,16.88889,26,-12.222222,-7.5555553,19.777779,26,0.4203661,2.2444103,1,0
152,220,9,0,0,0.94444466,0.6851854,1.4444448,2.1629636,14.62963,11.555555,13.111111,19.222221,-9.222222,-4.5555553,13.777778,19.222221,0.41670507,2.3068845,1,0
152,199,9,0,0,1.111111,0.5185188,0.8333337,0.2555551,17.962963,15.222222,15.444445,23.222221,-8.222222,-7.5555553,15.777778,23.222221,0.34806257,2.129513,0,0
152,247,9,0,0.22222222,1.6111107,1.2185191,7.1111107,4.340751,21.925926,21.11111,25.11111,19.555555,-2.4444444,9.555555,-7.111111,25.11111,0.21578804,-1.7554835,1,0
151,187,9,0,0,1.2222222,0.74074084,2.0555556,1.0407399,11.62963,9.333334,9.666667,15.888889,-6.888889,-5.888889,12.777778,15.888889,0.42836255,2.1566393,0,0
148,169,9,0.11111111,0,1.0555553,0.7740734,1.833333,2.6111097,19.592592,15.111111,18.666668,25,-13.444445,-2.7777777,16.222221,25,0.3961213,2.467752,1,0
146,238,9,0,0,2.0555556,0.59629667,2.6666665,1.8666656,17.777779,15,16.555555,21.777779,-8.333333,-3.6666667,12,21.777779,0.3152556,2.3374724,0,0
146,201,9,0,0,0.61111087,0.32773054,1.0555555,0.8004625,10.666667,8.666667,7,16.333334,-6,-11,17,16.333334,0.5708515,1.9092555,0,0
145,248,9,0,0,2.0555553,1.7180947,2.111111,1.3770607,26.88889,23.222221,25.11111,32.333336,-11,-5.3333335,16.333334,32.333336,0.2916751,2.2850983,1,0
145,152,9,0,0,0.72222203,1.1434193,2.7777774,1.1088861,25.037037,19.666668,25.777779,29.666666,-16.11111,2.2222223,13.888889,29.666666,0.337989,2.7311342,0,0
145,170,9,0,0,1.277778,0.57413363,1.222222,0.86066276,16.407408,12.777778,16.88889,19.555555,-10.888889,1.4444444,9.444445,19.555555,0.34671864,2.7370737,1,0
144,169,9,0,0,1.1111107,0.77936363,1.3888884,0.74286735,17.11111,13.444445,18,19.88889,-11,2.6666667,8.333333,19.88889,0.32496518,2.8348217,0,0
142,208,9,0,0,1.9444442,2.6407385,2.4999995,1.3222219,18.555555,15.444445,14.888889,25.333334,-9.333333,-11,20.333334,25.333334,0.4408947,2.1022124,1,0
140,161,9,0,0,0.27777767,0.3277306,0.7777777,0.6206328,15.740741,12.444445,14.333333,20.444445,-9.888889,-4.2222223,14.111111,20.444445,0.39095718,2.3451326,0,0
