RelativeCompactness,SurfaceArea,WallArea,RoofArea,OverallHeight,GlazingArea,HeatingLoad,CoolingLoad,GlazingAreaDistribution<3?,Orientation<4?
0.69,735,294,220.5,3.5,0.1,11.13,14.61,1,1
0.69,735,294,220.5,3.5,0.1,11.09,14.3,1,0
0.69,735,294,220.5,3.5,0.1,11.16,14.45,1,0
0.66,759.5,318.5,220.5,3.5,0.1,11.68,13.9,1,1
0.66,759.5,318.5,220.5,3.5,0.1,11.69,13.72,1,1
0.66,759.5,318.5,220.5,3.5,0.1,11.7,13.88,1,0
0.66,759.5,318.5,220.5,3.5,0.1,11.69,13.65,1,0
0.64,784,343,220.5,3.5,0.1,15.41,19.37,1,1
0.64,784,343,220.5,3.5,0.1,15.2,19.43,1,1
0.64,784,343,220.5,3.5,0.1,15.42,19.34,1,0
0.64,784,343,220.5,3.5,0.1,15.21,19.32,1,0
0.62,808.5,367.5,220.5,3.5,0.1,12.96,14.34,1,1
0.62,808.5,367.5,220.5,3.5,0.1,12.97,14.5,1,1
0.62,808.5,367.5,220.5,3.5,0.1,12.93,14.33,1,0
0.62,808.5,367.5,220.5,3.5,0.1,13.02,14.27,1,0
0.98,514.5,294,110.25,7,0.1,24.29,25.95,1,1
0.98,514.5,294,110.25,7,0.1,24.31,25.63,1,1
0.98,514.5,294,110.25,7,0.1,24.13,26.13,1,0
0.98,514.5,294,110.25,7,0.1,24.25,25.89,1,0
0.9,563.5,318.5,122.5,7,0.1,28.88,32.54,1,1
0.9,563.5,318.5,122.5,7,0.1,29.68,29.44,1,1
0.9,563.5,318.5,122.5,7,0.1,28.83,29.36,1,0
0.9,563.5,318.5,122.5,7,0.1,27.9,34.2,1,0
0.86,588,294,147,7,0.1,26.48,30.91,1,1
0.86,588,294,147,7,0.1,27.02,25.63,1,1
0.86,588,294,147,7,0.1,26.33,27.36,1,0
0.86,588,294,147,7,0.1,25.36,31.9,1,0
0.82,612.5,318.5,147,7,0.1,23.75,27.38,1,1
0.82,612.5,318.5,147,7,0.1,24.23,25.02,1,1
0.82,612.5,318.5,147,7,0.1,23.67,24.8,1,0
0.82,612.5,318.5,147,7,0.1,22.79,28.79,1,0
0.79,637,343,147,7,0.1,35.65,41.07,1,1
0.79,637,343,147,7,0.1,37.26,34.62,1,1
0.79,637,343,147,7,0.1,36.97,33.87,1,0
0.79,637,343,147,7,0.1,36.03,42.86,1,0
0.76,661.5,416.5,122.5,7,0.1,33.16,33.91,1,1
0.76,661.5,416.5,122.5,7,0.1,32.4,34.07,1,1
0.76,661.5,416.5,122.5,7,0.1,33.12,34.17,1,0
0.76,661.5,416.5,122.5,7,0.1,32.41,33.78,1,0
0.74,686,245,220.5,3.5,0.1,10.42,13.39,1,1
0.74,686,245,220.5,3.5,0.1,10.46,13.72,1,1
0.74,686,245,220.5,3.5,0.1,10.32,13.57,1,0
0.74,686,245,220.5,3.5,0.1,10.45,13.79,1,0
0.71,710.5,269.5,220.5,3.5,0.1,10.64,13.67,1,1
0.71,710.5,269.5,220.5,3.5,0.1,10.72,14.11,1,1
0.71,710.5,269.5,220.5,3.5,0.1,10.55,13.8,1,0
0.71,710.5,269.5,220.5,3.5,0.1,10.68,14.21,1,0
0.69,735,294,220.5,3.5,0.1,11.45,13.2,1,1
0.69,735,294,220.5,3.5,0.1,11.46,13.54,1,1
0.69,735,294,220.5,3.5,0.1,11.32,13.32,1,0
0.69,735,294,220.5,3.5,0.1,11.49,13.51,1,0
0.66,759.5,318.5,220.5,3.5,0.1,11.45,14.86,1,1
0.66,759.5,318.5,220.5,3.5,0.1,11.42,14.75,1,1
0.66,759.5,318.5,220.5,3.5,0.1,11.33,15,1,0
0.66,759.5,318.5,220.5,3.5,0.1,11.43,14.74,1,0
0.64,784,343,220.5,3.5,0.1,15.41,19.23,1,1
0.64,784,343,220.5,3.5,0.1,15.18,19.34,1,1
0.64,784,343,220.5,3.5,0.1,15.34,19.32,1,0
0.64,784,343,220.5,3.5,0.1,15.19,19.3,1,0
0.62,808.5,367.5,220.5,3.5,0.1,12.88,14.37,1,1
0.62,808.5,367.5,220.5,3.5,0.1,13,14.57,1,1
0.62,808.5,367.5,220.5,3.5,0.1,12.97,14.27,1,0
0.62,808.5,367.5,220.5,3.5,0.1,13.04,14.24,1,0
0.98,514.5,294,110.25,7,0.1,24.28,25.68,0,1
0.98,514.5,294,110.25,7,0.1,24.4,26.02,0,1
0.98,514.5,294,110.25,7,0.1,24.11,25.84,0,0
0.98,514.5,294,110.25,7,0.1,24.35,26.14,0,0
0.9,563.5,318.5,122.5,7,0.1,28.07,34.14,0,1
0.9,563.5,318.5,122.5,7,0.1,29.01,32.85,0,1
0.9,563.5,318.5,122.5,7,0.1,29.62,30.08,0,0
0.9,563.5,318.5,122.5,7,0.1,29.05,29.67,0,0
0.86,588,294,147,7,0.1,25.41,31.73,0,1
0.86,588,294,147,7,0.1,26.47,31.01,0,1
0.86,588,294,147,7,0.1,26.89,25.9,0,0
0.86,588,294,147,7,0.1,26.46,27.4,0,0
0.82,612.5,318.5,147,7,0.1,22.93,28.68,0,1
0.82,612.5,318.5,147,7,0.1,23.84,27.54,0,1
0.82,612.5,318.5,147,7,0.1,24.17,25.35,0,0
0.82,612.5,318.5,147,7,0.1,23.87,24.93,0,0
0.79,637,343,147,7,0.1,35.78,43.12,0,1
0.79,637,343,147,7,0.1,35.48,41.22,0,1
0.79,637,343,147,7,0.1,36.97,35.1,0,0
0.79,637,343,147,7,0.1,36.7,34.29,0,0
0.76,661.5,416.5,122.5,7,0.1,32.52,33.85,0,1
0.76,661.5,416.5,122.5,7,0.1,33.28,34.11,0,1
0.76,661.5,416.5,122.5,7,0.1,32.33,34.48,0,0
0.76,661.5,416.5,122.5,7,0.1,33.24,34.5,0,0
0.74,686,245,220.5,3.5,0.1,10.39,13.6,0,1
0.74,686,245,220.5,3.5,0.1,10.34,13.36,0,1
0.74,686,245,220.5,3.5,0.1,10.35,13.65,0,0
0.74,686,245,220.5,3.5,0.1,10.38,13.49,0,0
0.71,710.5,269.5,220.5,3.5,0.1,10.77,14.14,0,1
0.71,710.5,269.5,220.5,3.5,0.1,10.68,13.77,0,1
0.71,710.5,269.5,220.5,3.5,0.1,10.68,14.3,0,0
0.71,710.5,269.5,220.5,3.5,0.1,10.7,13.87,0,0
0.69,735,294,220.5,3.5,0.1,11.22,14.44,0,1
0.69,735,294,220.5,3.5,0.1,11.16,14.27,0,1
0.69,735,294,220.5,3.5,0.1,11.1,14.67,0,0
0.69,735,294,220.5,3.5,0.1,11.14,14.4,0,0
0.66,759.5,318.5,220.5,3.5,0.1,11.59,13.46,0,1
0.66,759.5,318.5,220.5,3.5,0.1,11.6,13.7,0,1
0.66,759.5,318.5,220.5,3.5,0.1,11.53,13.59,0,0
0.66,759.5,318.5,220.5,3.5,0.1,11.61,13.83,0,0
0.64,784,343,220.5,3.5,0.1,15.16,19.14,0,1
0.64,784,343,220.5,3.5,0.1,15.36,19.18,0,1
0.64,784,343,220.5,3.5,0.1,15.12,19.37,0,0
0.64,784,343,220.5,3.5,0.1,15.36,19.29,0,0
0.62,808.5,367.5,220.5,3.5,0.1,12.68,14.09,0,1
0.62,808.5,367.5,220.5,3.5,0.1,12.63,14.23,0,1
0.62,808.5,367.5,220.5,3.5,0.1,12.71,14.14,0,0
0.62,808.5,367.5,220.5,3.5,0.1,12.73,13.89,0,0
0.98,514.5,294,110.25,7,0.1,24.38,25.91,0,1
0.98,514.5,294,110.25,7,0.1,24.23,25.72,0,1
0.98,514.5,294,110.25,7,0.1,24.04,26.18,0,0
0.98,514.5,294,110.25,7,0.1,24.32,25.87,0,0
0.9,563.5,318.5,122.5,7,0.1,29.06,29.34,0,1
0.9,563.5,318.5,122.5,7,0.1,28.05,33.91,0,1
0.9,563.5,318.5,122.5,7,0.1,28.86,32.83,0,0
0.9,563.5,318.5,122.5,7,0.1,29.79,29.92,0,0
0.86,588,294,147,7,0.1,26.44,27.17,0,1
0.86,588,294,147,7,0.1,25.37,31.76,0,1
0.86,588,294,147,7,0.1,26.33,31.06,0,0
0.86,588,294,147,7,0.1,27.03,25.81,0,0
0.82,612.5,318.5,147,7,0.1,23.8,24.61,0,1
0.82,612.5,318.5,147,7,0.1,22.8,28.61,0,1
0.82,612.5,318.5,147,7,0.1,23.59,27.57,0,0
0.82,612.5,318.5,147,7,0.1,24.24,25.16,0,0
0.79,637,343,147,7,0.1,36.86,34.25,0,1
0.79,637,343,147,7,0.1,35.89,43.3,0,1
0.79,637,343,147,7,0.1,35.45,41.86,0,0
0.79,637,343,147,7,0.1,37.1,35.29,0,0
0.76,661.5,416.5,122.5,7,0.1,33.08,34.11,0,1
0.76,661.5,416.5,122.5,7,0.1,32.38,33.62,0,1
0.76,661.5,416.5,122.5,7,0.1,33.09,33.89,0,0
0.76,661.5,416.5,122.5,7,0.1,32.31,34.05,0,0
0.74,686,245,220.5,3.5,0.1,10.08,13.2,0,1
0.74,686,245,220.5,3.5,0.1,10.15,13.36,0,1
0.74,686,245,220.5,3.5,0.1,10.07,13.21,0,0
0.74,686,245,220.5,3.5,0.1,10.14,13.53,0,0
0.71,710.5,269.5,220.5,3.5,0.1,10.66,13.67,0,1
0.71,710.5,269.5,220.5,3.5,0.1,10.68,14.12,0,1
0.71,710.5,269.5,220.5,3.5,0.1,10.53,13.79,0,0
0.71,710.5,269.5,220.5,3.5,0.1,10.72,14.2,0,0
0.69,735,294,220.5,3.5,0.1,11.18,14.29,0,1
0.69,735,294,220.5,3.5,0.1,11.22,14.49,0,1
0.69,735,294,220.5,3.5,0.1,11.07,14.42,0,0
0.69,735,294,220.5,3.5,0.1,11.2,14.73,0,0
0.66,759.5,318.5,220.5,3.5,0.1,11.44,14.86,0,1
0.66,759.5,318.5,220.5,3.5,0.1,11.42,14.67,0,1
0.66,759.5,318.5,220.5,3.5,0.1,11.33,15,0,0
0.66,759.5,318.5,220.5,3.5,0.1,11.43,14.83,0,0
0.64,784,343,220.5,3.5,0.1,15.4,19.24,0,1
0.64,784,343,220.5,3.5,0.1,15.19,19.25,0,1
0.64,784,343,220.5,3.5,0.1,15.32,19.42,0,0
0.64,784,343,220.5,3.5,0.1,15.16,19.48,0,0
0.62,808.5,367.5,220.5,3.5,0.1,12.85,14.37,0,1
0.62,808.5,367.5,220.5,3.5,0.1,13.04,14.34,0,1
0.62,808.5,367.5,220.5,3.5,0.1,13,14.28,0,0
0.62,808.5,367.5,220.5,3.5,0.1,13,14.47,0,0
0.98,514.5,294,110.25,7,0.1,24.35,25.64,0,1
0.98,514.5,294,110.25,7,0.1,24.33,25.98,0,1
0.98,514.5,294,110.25,7,0.1,24.03,25.88,0,0
0.98,514.5,294,110.25,7,0.1,24.26,26.18,0,0
0.9,563.5,318.5,122.5,7,0.1,29.83,29.82,0,1
0.9,563.5,318.5,122.5,7,0.1,29.08,29.52,0,1
0.9,563.5,318.5,122.5,7,0.1,28.03,34.45,0,0
0.9,563.5,318.5,122.5,7,0.1,29.02,33.01,0,0
0.86,588,294,147,7,0.1,27.03,25.82,0,1
0.86,588,294,147,7,0.1,26.45,27.33,0,1
0.86,588,294,147,7,0.1,25.36,32.04,0,0
0.86,588,294,147,7,0.1,26.45,31.28,0,0
0.82,612.5,318.5,147,7,0.1,24.37,25.11,0,1
0.82,612.5,318.5,147,7,0.1,23.89,24.77,0,1
0.82,612.5,318.5,147,7,0.1,22.89,28.88,0,0
0.82,612.5,318.5,147,7,0.1,23.86,27.69,0,0
0.79,637,343,147,7,0.1,37.03,34.99,0,1
0.79,637,343,147,7,0.1,36.71,34.18,0,1
0.79,637,343,147,7,0.1,36.77,43.14,0,0
0.79,637,343,147,7,0.1,35.48,41.26,0,0
0.76,661.5,416.5,122.5,7,0.1,32.31,34.25,0,1
0.76,661.5,416.5,122.5,7,0.1,33.21,34.35,0,1
0.76,661.5,416.5,122.5,7,0.1,32.46,33.64,0,0
0.76,661.5,416.5,122.5,7,0.1,33.27,33.88,0,0
0.74,686,245,220.5,3.5,0.1,10.47,13.65,0,1
0.74,686,245,220.5,3.5,0.1,10.37,13.44,0,1
0.74,686,245,220.5,3.5,0.1,10.34,13.72,0,0
0.74,686,245,220.5,3.5,0.1,10.39,13.5,0,0
0.71,710.5,269.5,220.5,3.5,0.1,10.78,14.18,0,1
0.71,710.5,269.5,220.5,3.5,0.1,10.7,13.75,0,1
0.71,710.5,269.5,220.5,3.5,0.1,10.67,14.26,0,0
0.71,710.5,269.5,220.5,3.5,0.1,13.69,13.89,0,0
0.69,735,294,220.5,3.5,0.1,11.21,14.55,0,1
0.69,735,294,220.5,3.5,0.1,11.14,14.28,0,1
0.69,735,294,220.5,3.5,0.1,11.11,14.46,0,0
0.69,735,294,220.5,3.5,0.1,11.16,14.39,0,0
0.66,759.5,318.5,220.5,3.5,0.1,11.38,14.54,0,1
0.66,759.5,318.5,220.5,3.5,0.1,11.34,14.81,0,1
0.66,759.5,318.5,220.5,3.5,0.1,11.22,14.65,0,0
0.66,759.5,318.5,220.5,3.5,0.1,11.34,14.87,0,0
0.64,784,343,220.5,3.5,0.1,15.16,19.24,0,1
0.64,784,343,220.5,3.5,0.1,15.37,19.18,0,1
0.64,784,343,220.5,3.5,0.1,15.12,19.26,0,0
0.64,784,343,220.5,3.5,0.1,15.36,19.29,0,0
0.62,808.5,367.5,220.5,3.5,0.1,12.59,14.24,0,1
0.62,808.5,367.5,220.5,3.5,0.1,12.74,13.97,0,1
0.62,808.5,367.5,220.5,3.5,0.1,12.8,13.99,0,0
0.62,808.5,367.5,220.5,3.5,0.1,12.62,14.15,0,0
0.98,514.5,294,110.25,7,0.25,28.15,29.79,1,1
0.98,514.5,294,110.25,7,0.25,28.15,29.79,1,1
0.98,514.5,294,110.25,7,0.25,28.37,29.28,1,0
0.98,514.5,294,110.25,7,0.25,28.41,29.49,1,0
0.9,563.5,318.5,122.5,7,0.25,32.68,36.12,1,1
0.9,563.5,318.5,122.5,7,0.25,33.48,33.17,1,1
0.9,563.5,318.5,122.5,7,0.25,32.84,32.71,1,0
0.9,563.5,318.5,122.5,7,0.25,32,37.58,1,0
0.86,588,294,147,7,0.25,29.54,33.98,1,1
0.86,588,294,147,7,0.25,30.05,28.61,1,1
0.86,588,294,147,7,0.25,29.6,30.12,1,0
0.86,588,294,147,7,0.25,28.66,34.73,1,0
0.82,612.5,318.5,147,7,0.25,26.84,30.17,1,1
0.82,612.5,318.5,147,7,0.25,27.27,27.84,1,1
0.82,612.5,318.5,147,7,0.25,26.97,27.25,1,0
0.82,612.5,318.5,147,7,0.25,26.19,31.39,1,0
0.79,637,343,147,7,0.25,38.67,43.8,1,1
0.79,637,343,147,7,0.25,40.03,37.81,1,1
0.79,637,343,147,7,0.25,39.86,36.85,1,0
0.79,637,343,147,7,0.25,39.04,45.52,1,0
0.76,661.5,416.5,122.5,7,0.25,36.96,36.85,1,1
0.76,661.5,416.5,122.5,7,0.25,36.13,37.58,1,1
0.76,661.5,416.5,122.5,7,0.25,36.91,37.45,1,0
0.76,661.5,416.5,122.5,7,0.25,36.43,36.62,1,0
0.74,686,245,220.5,3.5,0.25,12.43,15.19,1,1
0.74,686,245,220.5,3.5,0.25,12.5,15.5,1,1
0.74,686,245,220.5,3.5,0.25,12.41,15.28,1,0
0.74,686,245,220.5,3.5,0.25,12.45,15.5,1,0
0.71,710.5,269.5,220.5,3.5,0.25,12.57,15.42,1,1
0.71,710.5,269.5,220.5,3.5,0.25,12.65,15.85,1,1
0.71,710.5,269.5,220.5,3.5,0.25,12.57,15.44,1,0
0.71,710.5,269.5,220.5,3.5,0.25,12.63,15.81,1,0
0.69,735,294,220.5,3.5,0.25,12.78,15.21,1,1
0.69,735,294,220.5,3.5,0.25,12.93,15.63,1,1
0.69,735,294,220.5,3.5,0.25,12.73,15.48,1,0
0.69,735,294,220.5,3.5,0.25,12.72,15.78,1,0
0.66,759.5,318.5,220.5,3.5,0.25,13.17,16.39,1,1
0.66,759.5,318.5,220.5,3.5,0.25,13.18,16.27,1,1
0.66,759.5,318.5,220.5,3.5,0.25,13.17,16.39,1,0
0.66,759.5,318.5,220.5,3.5,0.25,13.18,16.19,1,0
0.64,784,343,220.5,3.5,0.25,17.5,21.13,1,1
0.64,784,343,220.5,3.5,0.25,17.35,21.19,1,1
0.64,784,343,220.5,3.5,0.25,17.52,21.09,1,0
0.64,784,343,220.5,3.5,0.25,17.37,21.08,1,0
0.62,808.5,367.5,220.5,3.5,0.25,15.09,15.77,1,1
0.62,808.5,367.5,220.5,3.5,0.25,15.12,15.95,1,1
0.62,808.5,367.5,220.5,3.5,0.25,15.08,15.77,1,0
0.62,808.5,367.5,220.5,3.5,0.25,15.16,15.76,1,0
0.98,514.5,294,110.25,7,0.25,28.67,29.62,1,1
0.98,514.5,294,110.25,7,0.25,28.57,29.69,1,1
0.98,514.5,294,110.25,7,0.25,28.18,30.18,1,0
0.98,514.5,294,110.25,7,0.25,28.6,30.02,1,0
0.9,563.5,318.5,122.5,7,0.25,32.46,35.56,1,1
0.9,563.5,318.5,122.5,7,0.25,33.27,32.64,1,1
0.9,563.5,318.5,122.5,7,0.25,32.33,32.77,1,0
0.9,563.5,318.5,122.5,7,0.25,31.66,37.72,1,0
0.86,588,294,147,7,0.25,29.34,33.37,1,1
0.86,588,294,147,7,0.25,29.87,27.89,1,1
0.86,588,294,147,7,0.25,29.27,29.9,1,0
0.86,588,294,147,7,0.25,28.4,34.52,1,0
0.82,612.5,318.5,147,7,0.25,25.74,28.27,1,1
0.82,612.5,318.5,147,7,0.25,25.98,26.96,1,1
0.82,612.5,318.5,147,7,0.25,25.38,26.72,1,0
0.82,612.5,318.5,147,7,0.25,24.94,29.88,1,0
0.79,637,343,147,7,0.25,38.57,43.86,1,1
0.79,637,343,147,7,0.25,40.19,37.41,1,1
0.79,637,343,147,7,0.25,39.97,36.77,1,0
0.79,637,343,147,7,0.25,38.98,45.97,1,0
0.76,661.5,416.5,122.5,7,0.25,36.95,36.87,1,1
0.76,661.5,416.5,122.5,7,0.25,36.28,37.35,1,1
0.76,661.5,416.5,122.5,7,0.25,36.86,37.28,1,0
0.76,661.5,416.5,122.5,7,0.25,36.45,36.81,1,0
0.74,686,245,220.5,3.5,0.25,12.35,14.73,1,1
0.74,686,245,220.5,3.5,0.25,12.45,15.1,1,1
0.74,686,245,220.5,3.5,0.25,12.16,15.18,1,0
0.74,686,245,220.5,3.5,0.25,12.3,15.44,1,0
0.71,710.5,269.5,220.5,3.5,0.25,12.33,14.91,1,1
0.71,710.5,269.5,220.5,3.5,0.25,12.29,15.4,1,1
0.71,710.5,269.5,220.5,3.5,0.25,12.2,14.94,1,0
0.71,710.5,269.5,220.5,3.5,0.25,12.49,15.32,1,0
0.69,735,294,220.5,3.5,0.25,12.85,15.52,1,1
0.69,735,294,220.5,3.5,0.25,12.87,15.85,1,1
0.69,735,294,220.5,3.5,0.25,12.73,15.66,1,0
0.69,735,294,220.5,3.5,0.25,12.95,15.99,1,0
0.66,759.5,318.5,220.5,3.5,0.25,13.05,15.89,1,1
0.66,759.5,318.5,220.5,3.5,0.25,12.93,15.85,1,1
0.66,759.5,318.5,220.5,3.5,0.25,12.77,16.22,1,0
0.66,759.5,318.5,220.5,3.5,0.25,13,15.87,1,0
0.64,784,343,220.5,3.5,0.25,17.14,20.47,1,1
0.64,784,343,220.5,3.5,0.25,16.84,20.56,1,1
0.64,784,343,220.5,3.5,0.25,17.02,20.48,1,0
0.64,784,343,220.5,3.5,0.25,17.11,20.43,1,0
0.62,808.5,367.5,220.5,3.5,0.25,14.34,15.32,1,1
0.62,808.5,367.5,220.5,3.5,0.25,14.66,15.64,1,1
0.62,808.5,367.5,220.5,3.5,0.25,14.6,15.14,1,0
0.62,808.5,367.5,220.5,3.5,0.25,14.6,15.3,1,0
0.98,514.5,294,110.25,7,0.25,28.67,29.43,0,1
0.98,514.5,294,110.25,7,0.25,28.56,29.78,0,1
0.98,514.5,294,110.25,7,0.25,28.17,30.1,0,0
0.98,514.5,294,110.25,7,0.25,28.63,30.19,0,0
0.9,563.5,318.5,122.5,7,0.25,31.63,36.35,0,1
0.9,563.5,318.5,122.5,7,0.25,32.4,35.1,0,1
0.9,563.5,318.5,122.5,7,0.25,32.68,32.83,0,0
0.9,563.5,318.5,122.5,7,0.25,32.29,32.46,0,0
0.86,588,294,147,7,0.25,28.4,33.52,0,1
0.86,588,294,147,7,0.25,29.4,32.93,0,1
0.86,588,294,147,7,0.25,29.43,28.38,0,0
0.86,588,294,147,7,0.25,29.07,29.82,0,0
0.82,612.5,318.5,147,7,0.25,24.7,28.77,0,1
0.82,612.5,318.5,147,7,0.25,25.48,27.76,0,1
0.82,612.5,318.5,147,7,0.25,25.37,26.95,0,0
0.82,612.5,318.5,147,7,0.25,25.17,26.41,0,0
0.79,637,343,147,7,0.25,39.04,45.13,0,1
0.79,637,343,147,7,0.25,38.35,43.66,0,1
0.79,637,343,147,7,0.25,39.81,37.76,0,0
0.79,637,343,147,7,0.25,39.83,36.87,0,0
0.76,661.5,416.5,122.5,7,0.25,35.99,36.07,0,1
0.76,661.5,416.5,122.5,7,0.25,36.59,36.44,0,1
0.76,661.5,416.5,122.5,7,0.25,35.64,37.28,0,0
0.76,661.5,416.5,122.5,7,0.25,36.52,37.29,0,0
0.74,686,245,220.5,3.5,0.25,11.8,14.49,0,1
0.74,686,245,220.5,3.5,0.25,12.03,13.79,0,1
0.74,686,245,220.5,3.5,0.25,11.98,14.72,0,0
0.74,686,245,220.5,3.5,0.25,11.69,14.76,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.41,14.92,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.28,14.74,0,1
0.71,710.5,269.5,220.5,3.5,0.25,12.1,15.57,0,0
0.71,710.5,269.5,220.5,3.5,0.25,12.19,14.94,0,0
0.69,735,294,220.5,3.5,0.25,12.34,14.92,0,1
0.69,735,294,220.5,3.5,0.25,12.46,14.38,0,1
0.69,735,294,220.5,3.5,0.25,12.31,15.44,0,0
0.69,735,294,220.5,3.5,0.25,12.12,15.17,0,0
0.66,759.5,318.5,220.5,3.5,0.25,12.97,15.53,0,1
0.66,759.5,318.5,220.5,3.5,0.25,13.01,15.8,0,1
0.66,759.5,318.5,220.5,3.5,0.25,12.74,16.14,0,0
0.66,759.5,318.5,220.5,3.5,0.25,12.84,16.26,0,0
0.64,784,343,220.5,3.5,0.25,16.83,19.87,0,1
0.64,784,343,220.5,3.5,0.25,16.93,20.03,0,1
0.64,784,343,220.5,3.5,0.25,16.66,20.46,0,0
